month,year,articles
0,2012,8903
1,2012,8471
2,2012,8424
3,2012,8072
4,2012,9138
5,2012,8064
6,2012,8103
7,2012,8330
8,2012,7887
9,2012,8222
10,2012,7608
11,2012,7862
0,2013,8476
1,2013,7499
2,2013,8194
3,2013,7571
4,2013,8361
5,2013,7098
6,2013,6565
7,2013,7661
8,2013,7435
9,2013,7319
10,2013,6878
11,2013,7181
0,2014,8049
1,2014,6973
2,2014,7322
3,2014,7212
4,2014,7817
5,2014,7293
6,2014,7366
7,2014,7160
8,2014,7356
9,2014,7615
10,2014,6748
11,2014,8447
0,2015,7169
1,2015,6809
2,2015,7996
3,2015,7491
4,2015,7190
5,2015,7590
6,2015,7586
7,2015,7088
8,2015,7286
9,2015,10991
10,2015,16122
11,2015,16833
0,2016,16193
1,2016,15237
2,2016,25464
3,2016,24863
4,2016,24162
5,2016,20827
6,2016,22056
7,2016,24003
8,2016,22806
9,2016,26028
10,2016,24666
11,2016,26656
0,2017,26111
1,2017,24616
2,2017,27786
3,2017,25718
4,2017,27087
5,2017,23920
6,2017,29000
7,2017,28373
8,2017,28302
9,2017,30375
10,2017,30267
11,2017,26665
0,2018,24432
1,2018,24822
2,2018,22200
3,2018,21422
4,2018,23162
5,2018,23854
6,2018,17283
7,2018,13596
8,2018,14403
9,2018,12292
10,2018,12865
11,2018,11688
0,2019,13773
1,2019,12827
2,2019,13090
3,2019,13420
4,2019,12771
5,2019,13782
6,2019,14131
7,2019,26200
8,2019,25210
9,2019,31258
10,2019,14702
11,2019,19919
0,2020,21026
1,2020,16422
2,2020,15170
3,2020,26604
4,2020,28964
5,2020,21453
6,2020,20919
7,2020,36507
8,2020,29609
9,2020,25325
10,2020,27749
11,2020,13874
0,2021,1722
1,2021,1221
2,2021,15003
3,2021,14287
4,2021,908
5,2021,1016
6,2021,32330
7,2021,33192
8,2021,1247
9,2021,1120
10,2021,34527
11,2021,839
0,2022,41798
1,2022,35781
2,2022,29481
3,2022,22612
4,2022,17596
5,2022,18780
6,2022,26483
7,2022,22093
8,2022,21553
9,2022,16840
10,2022,14519
11,2022,16267
