id	text	month	year	assigned
2385229	"The workers have been demanding better wages since inflation has been so high recently , "" said Kalpona Akter , executive director of the Bangladesh Centre for Worker Solidarity to the Guardian . """	3	2014	mh
8535774	In Germany , unemployment fell by 16,000 and wages grew during April , but harmonized inflation fell into negative territory , down 0.3% monthly basis , and by 0.1% compared to a year before .	4	2016	mh
86814317	The average forecast for IPCA consumer price inflation at the end of this year rose to 3.8% from 3.6% , according to the latest weekly ' FOCUS ' survey of over 100 economists .	2	2021	mh
9414437	Ronaldo 's arrogance feels different from the almost comical inflation of Zlatan Ibrahimovic , for instance .	6	2016	mh
31784146	""" I think that the low-inflation paradigm that we are in will most likely end when a ) real interest rate returns are pushed so low that investors holding the debt wo n't want to hold it and will start to move to something they think is better and b ) simultaneously , the large need for money to fund liabilities will contribute to the ' big squeeze , "" he wrote ."	4	2020	mh
31980112	The film was the highest-grossing movie of all time , adjusted for inflation , but its depiction of contented slaves and heroic slaveholders has garnered criticism in recent years .	7	2020	mh
3673978	Indeed , after inflation and taxes , real rates on those instruments are negative .	10	2015	mh
26308487	If the rail authority misses its 2033 target , inflation will likely raise the project 's pricetag by as much as $2 billion a year .	8	2018	mh
2047917	Inflation was running at 5.85% through mid-December , higher than the government 's 4.5% target .	12	2013	mh
14535073	Inflation of Kilauea 's summit reservoir increases the chance of magma intruding into the volcano 's south caldera or upper rift zones .	9	2016	mh
86959021	Bond yields have risen this year as traders have been watching the potential for inflation pressures to pick up after struggling economies were flooded with credit and government spending .	3	2021	mh
7920425	After that , further increases would be indexed to the inflation rate .	3	2016	mh
86090087	"In its policy statement , the Federal Open Market Committee said it expected to hold rates steady near zero -- where they have been since March -- until the job market reached what it saw as full employment "" and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time . """	10	2020	mh
2274067	Take paper currency off its pedestal , and inflation is no longer necessary to provide this space for monetary policy , since interest rates can go down , instead of inflation having to go up .	2	2014	mh
15442537	""" With that could come some inflation ."	11	2016	mh
474574	Inflation is going up .	8	2013	mh
2641478	""" The obvious near-term solution is to raise the gasoline tax back to where it was in 1993 dollars and index it for inflation , "" the paper wrote . """	7	2014	mh
2796299	Inflation in Europe is so low there 's a risk of deflation , or falling prices , which would be a perverse development because falling prices discourage people from spending , since goods will be cheaper tomorrow .	9	2014	mh
81624669	Growth has since picked up and inflation has tempered , even as the central bank delivered a series of large cuts to the benchmark lending rates .	10	2019	mh
9745283	Washington 's current minimum wage is $9.47 an hour , but the rate is adjusted each year for inflation as measured by the Consumer Price Index for the past 12 months .	7	2016	mh
20669197	Britain 's inflation rate has accelerated , mainly because of the fall in sterling 's value since a narrow referendum decision in June 2016 to leave the European Union .	9	2017	mh
85007868	As consumption increases , so does the ability for producers to charge higher prices ( inflation ) and for lenders to increase borrowing costs .	5	2020	mh
84897646	Inflation in the United States was just 0.3% last month from a year earlier , weaker than economists expected , as purchases withered amid widespread stay-at-home orders .	5	2020	mh
91755698	""" We think that the public generally sees us as very likely to be successful in getting inflation down to 2% ."	6	2022	mh
14985602	Gold GCZ6 , -0.06%closed mostly flat , pressured by the stronger dollar , but ended the week higher as inflation expectations rose .	10	2016	mh
31877050	Our Common Equity Tier 1 ratio was 10.9% in the quarter , which is comfortably in excess of the regulatory minimum and more than enough to accommodate expected customer demand and RWA inflation .	6	2020	mh
70491806	INFLATION STILL ABOVE TARGET  The BoE sent a reminder to investors that rates might rise more quickly than they expect by saying it saw inflation in two years ' time at 2.1 percent , a touch above its 2 percent target .	2	2019	mh
3883122	"These developments may "" increase the likelihood that headline inflation rates would remain subdued , "" according to the minutes ."	12	2015	mh
563681	Kuttner 's proposed solution unsurprisingly involves massive debt relief , inflation ( at least 4%-6% annually ) , and tight reregulation of financial markets .	10	2013	mh
3270450	The Surprising Impact on Electricity Prices  Electricity costs go up nearly every year because utilities need to make investments in maintaining the grid to serve customers , and those costs rise with inflation .	5	2015	mh
3206535	"He 's open-minded about the proposals : He says there 's nothing "" magical "" about the 2 percent inflation target that the Fed formally adopted in 2012 ."	4	2015	mh
70240135	""" While the uptick in both the core-CPI and core-WPI inflation in October 2018 warrants some caution , the recent pullback in the rupee and crude oil prices has softened the risks to the inflation trajectory , "" she added ."	11	2018	mh
21709093	The day 's economic reports proved to be a mixed bag , with Eurozone inflation slowing slightly as initially estimated in October , while U.K. retail sales rose slightly faster than expected in the month .	11	2017	mh
90384827	Inflation hit 8.5% in March , its highest level since 1981 .	4	2022	mh
16762257	The prospect for accelerating inflation is another reason to own gold , even with the outlook for rising interest rates , he said .	2	2017	mh
23401598	Inflation sagged to 1 percent in January .	2	2018	mh
3547593	"1:29 pm August 31 , 2015  Rohan Parikh wrote :  WSJ writes , "" The deflation of China 's stock bubble should have no more economic impact than its inflation did . """	8	2015	mh
95771729	That 's because even after nine months of repeated Fed rate hikes , inflation-adjusted interest rates are still negative .	12	2022	mh
89641055	( Adds market reaction and comments from Wyden and Whitehouse , starting in fifth paragraph )  ( Bloomberg ) -- Odds are now close to even that the US economy will slip into a recession within the next year as persistent and rapid inflation emboldens the Federal Reserve to pursue larger interest-rate hikes.	7	2022	mh
33772892	SPONSORED :  Inflation tops list of most urgent issues facing US : poll  Americans in a new survey list inflation as the most urgent issue currently facing the U.S. , followed by immigration and the COVID-19 pandemic .	2	2022	mh
24298055	The only way to fight inflation , in fact , is to invest your money in a manner that keeps up with or outpaces it .	4	2018	mh
88384544	Kelly Cunningham , San Diego Institute for Economic Research  YES : The reason for accelerating inflation is an obvious result of the massive quantity of money printing spurred by surging government spending .	12	2021	mh
14685686	"The best CD rates are barely higher than the inflation rate , and savings rates are about 1 percent . """	10	2016	mh
70611952	And watch the rush for hard assets to avoid the inflation tsunami .	3	2019	mh
32167332	During simultaneous acquisition of blood oxygen level -- dependent ( BOLD ) -- fMRI data , the clinician used a button box ( 4 ) to apply electroacupuncture ( EA ) treatment ( real/sham , double-blind ) to the patient ( 5 ) to alleviate evoked pressure pain to the leg ( 6 ; Hokanson cuff inflation ) .	10	2020	mh
