month,year,sentences
0,2012,323049
1,2012,317101
2,2012,317360
3,2012,298263
4,2012,339960
5,2012,302843
6,2012,306518
7,2012,324535
8,2012,303922
9,2012,319952
10,2012,298816
11,2012,307017
0,2013,320342
1,2013,289276
2,2013,317011
3,2013,286841
4,2013,328152
5,2013,274138
6,2013,255564
7,2013,295965
8,2013,290550
9,2013,290549
10,2013,269099
11,2013,287976
0,2014,306070
1,2014,265171
2,2014,285490
3,2014,271338
4,2014,297556
5,2014,280785
6,2014,267951
7,2014,269786
8,2014,277167
9,2014,302500
10,2014,253934
11,2014,316725
0,2015,259063
1,2015,246085
2,2015,296005
3,2015,270601
4,2015,259409
5,2015,275043
6,2015,268482
7,2015,252768
8,2015,262301
9,2015,363521
10,2015,500398
11,2015,545777
0,2016,470336
1,2016,368780
2,2016,654340
3,2016,637038
4,2016,621172
5,2016,543475
6,2016,558308
7,2016,573418
8,2016,558061
9,2016,644177
10,2016,605267
11,2016,648869
0,2017,624440
1,2017,582309
2,2017,674543
3,2017,642077
4,2017,670326
5,2017,607335
6,2017,762340
7,2017,883271
8,2017,755182
9,2017,804182
10,2017,807729
11,2017,744871
0,2018,642789
1,2018,661378
2,2018,668338
3,2018,623295
4,2018,655143
5,2018,651352
6,2018,453684
7,2018,374164
8,2018,438844
9,2018,369021
10,2018,393550
11,2018,374185
0,2019,392182
1,2019,432560
2,2019,394763
3,2019,420162
4,2019,389302
5,2019,405669
6,2019,308312
7,2019,573612
8,2019,601656
9,2019,643930
10,2019,302432
11,2019,488191
0,2020,436863
1,2020,410243
2,2020,332141
3,2020,715978
4,2020,852474
5,2020,597961
6,2020,547080
7,2020,995046
8,2020,811186
9,2020,660411
10,2020,715508
11,2020,378875
0,2021,30296
1,2021,28571
2,2021,447574
3,2021,443896
4,2021,23508
5,2021,27463
6,2021,819551
7,2021,898149
8,2021,32043
9,2021,27847
10,2021,958809
11,2021,19892
0,2022,1115886
1,2022,986677
2,2022,881910
3,2022,685302
4,2022,538490
5,2022,591788
6,2022,838907
7,2022,678287
8,2022,664571
9,2022,538143
10,2022,468537
11,2022,522203
