consensus	notes	type - (m)istake,(a)mbiguous	az_updated	mh_updated	qz_updated	az	mh	qz	sentence	id
none		a				rates	rates	none	The Fed is leaving its key interest rate near zero while it tries to reduce unemployment below 6.5 percent and hold inflation below 2.5 percent.	177215
none		m				none	monetary	none	The point is to drive up annual inflation to a target of 2%.	227185
monetary,fiscal		m				monetary, fiscal	monetary, fiscal	none	But while the first part of the goldbug narrative--large government debts and extensive central-bank intervention--did materialize, inflation has not.	364757
none		m				none	purchase	none	Summary America is still gaining jobs under President Obama, but millions more live in poverty, typical household incomes have not kept pace with inflation, and the federal debt is up nearly 90 percent and on pace to double before he leaves office.	567853
demand,monetary,fiscal		m,a				monetary, fiscal, demand	demand	wage	In the years before the financial crisis, financial excess propped the economy up without ever getting to the kind of excess demand that would push unemployment down to unsustainably low levels and cause higher inflation.	649624
cost,rates		m				rates, cost	monetary, cost	cost	Skyrocketing prices of onion, rice and other food items are threatening to jeopardize Reserve Bank of India Governor Raghuram Rajan's efforts to curb stubborn inflation and revive an economy that is set to record its slowest pace of growth in a decade this year.	655557
none		a				uncertain	none	uncertain	Unfortunately, it's easier to see a crash landing instead of a glide path, given today's low yields, rising inflation, and looming sovereign risk.	693952
rates,govt		a				rates	govt, rates	rates	This shift in the regulatory environment is key as well as the rise of interest rates more generally in the economy during the inflation of the late 1970s.	699833
redistribution,other-effect		m				other-effect, redistribution	redistribution	none	Some households will remain trapped, missing out on better jobs elsewhere, waiting for inflation and monthly payments to slowly grind away the debt.	738247
rates		m	rates (m)	rates	rates	rates, fiscal	rates	rates	Policy makers under Simor have kept the benchmark interest rate at the highest level in the EU, citing the need to protect the forint amid the euro debt crisis and to rein in the fastest inflation in the 27-nation bloc.	864772
cost-push		m,a	cost-push (a)	cost-push (a)	cost-push (m)	govt	govt, cost-push	cost	Delays will undoubtedly lead to higher costs for taxpayers as defects worsen and repair costs rise due to inflation,"it reads.	964630
redistribution		a	redistribution	redistribution	redistribution (m)	redistribution	redistribution	none	It is likely to lead to some sort of default--be it through writedowns or inflation.	982067
none		m	none (m)	none	none	uncertain, social	none	none	In Brazil, however, such aversion to inflation does not seem to take place, despite the proximity to our hyperinflationary experience.	993313
cost,redistribution		m	redistribution, cost	cost, redistribution (m)	cost, redistribution (m)	redistribution, cost	social, cost	cost	In 2011, then World Bank president Robert Zoellick estimated that 44 million people fell into poverty in 2010 due to rising food prices, adding,"Food price inflation is the biggest threat today to the world's poor...one weather event and you start to push people over the edge."	1268194
rates		m	rates	rates	rates (m)	rates	rates	none	As I've written before, this is not only incorrect, but an ethically dubious position to hold, given the awful reality of mass unemployment, the minor and arguably positive effects of a little inflation, and the strong tools in the Federal Reserve's arsenal to control inflation should it get too high.	2539261
monetary,expect		m	monetary (m), expectations (m)	monetary (m), expectations (m)	monetary (m), expectation (m)	monetary, fiscal	none	none	That said, nominal income targeting does allow for persistent deviations of inflation from target, which may undermine the anchoring of expectations.	2547719
social		m	social	social	social (m)	social	social	none	Argentina arguably has bigger problems to worry about--like how to turn the country around being plagued by inflation, hyperinflation, mass unemployment, and frequent financial crises.	2678518
none		m	none	none (m)	none	none	savings	none	Bank of Japan (BOJ) Governor Haruhiko Kuroda has frustrated investors with his habit of surprising markets, and now the central bank's latest inflation forecast has some questioning his credibility.	2978338
rates		m,a	rates	rates (m, a)	rates (m)	rates	purchase, cost-push, rates	monetary	A Fed that strictly targeted inflation would have to tighten monetary policy to keep inflation from rising--but at the cost of causing the real economy, already hit by that shock, to contract further.	3206535
none		m	none (m)	none (m)	none	savings, cost	savings, cost	none	In their model, changes in inflation do not affect home prices in a uniform way.	3316124
supply		m	supply	supply	supply (m)	supply	supply	other-cause	A study by the International Monetary Fund found that El Nino typically adds between 0.5 and 0.9 percentage points to inflation in India, Indonesia and Thailand.	3333542
rates		m	rates	rates (m)	rates (m)	rates	monetary	none	If there is increasing volatility with the inflation rate, the RBI will have to use the repo rate to counter.	3446908
