"annotation_id"	"assigned"	"cause"	"city"	"cost-push-time"	"cost-time"	"created_at"	"demand-time"	"effect"	"expect-time"	"file_id"	"fiscal-time"	"govt-time"	"id"	"inflation-direction"	"international-time"	"lead_time"	"loc"	"monetary-time"	"month"	"narrative-type"	"other-cause-time"	"other-effect-time"	"purchase-time"	"rates-time"	"redistribution-time"	"region"	"savings-time"	"scope"	"social-time"	"state"	"supply-time"	"temporality"	"text"	"title"	"trade-time"	"uncertain-time"	"updated_at"	"wage-time"	"year"	"year_month"
1655	"az"	"{""choices"":[""fiscal"",""expect""]}"	"st louis"	""	""	"2024-06-24T14:36:43.025167Z"	""	""	"present"	1901945806	"present"	""	59533	"inflation-down"	""	536.313	"st louis"	""	4	"cause"	""	""	""	""	""	"midwest"	""	"local"	""	"missouri"	""	"future"	"Proxmire said a decision now to balance the budget would have a great psychological effect, sending out ""one clear unmistakable signal that this government means business about inflation."""	"St. Louis Post-Dispatch (1923-)"	""	""	"2024-06-24T14:36:43.025188Z"	""	1979	"1979-04"
1656	"az"	"fiscal"	"washington"	""	""	"2024-06-25T13:12:44.296970Z"	""	""	""	147118264	"past"	""	59534	"inflation-up"	""	47.818	"washington, dc"	""	1	"cause"	""	""	""	""	""	"northeast"	""	"national"	""	"district of columbia"	""	"present"	"To some analysts, the wheel-spinning Carter did in his first two years in office only made inflation more difficult to deal with."	"Washington Post  (1974-) The"	""	""	"2024-06-25T13:12:44.296995Z"	""	1979	"1979-01"
1657	"az"	""	"louisville"	""	""	"2024-06-25T13:13:15.474700Z"	""	""	""	1868546929	""	""	59535	""	""	28.002	"louisville"	""	7	"none"	""	""	""	""	""	"southeast"	""	"local"	""	"kentucky"	""	""	"The principles would require that any national health plan reduce health costs and help fight inflation generally."	"Courier-Journal (1923-) The"	""	""	"2024-06-25T13:13:15.474720Z"	""	1978	"1978-07"
1658	"az"	""	"los angeles"	""	""	"2024-06-25T13:19:11.562740Z"	""	"{""choices"":[""redistribution"",""present"",""social"",""present"",""govt""]}"	""	158976652	""	"present"	59536	"inflation-same"	""	335.174	"los angeles, calif"	""	8	"effect"	""	""	""	""	"present"	"west"	""	"local"	"present"	"california"	""	"present"	"While income redistribution and non-indexed taxes are the problems I see associated with our in- flation, the public s hue and cry about inflation ap- pears to have little to do with these issues."	"Los Angeles Times (1923-1995)"	""	""	"2024-06-25T13:19:11.562761Z"	""	1979	"1979-08"
1685	"az"	"fiscal"	"minneapolis"	""	""	"2024-06-26T13:56:48.611699Z"	""	""	""	1878751006	"future"	""	59537	"inflation-down"	""	4641.297	"minneapolis"	""	2	"cause"	""	""	""	""	""	"midwest"	""	"local"	""	"minnesota"	""	"future"	"Carter has proposed an ""austere"" budget to reduce the federal deficit in 1980, saying that will help control inflation."	"Minneapolis Tribune (1964-1982)"	""	""	"2024-06-26T13:56:48.611719Z"	""	1979	"1979-02"
1686	"az"	""	"new york"	""	""	"2024-06-26T13:57:05.542580Z"	""	""	""	123791109	""	""	59538	""	""	15.09	"new york, ny"	""	3	"none"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	""	"Granted, as you say, that state aid to cities and towns in Connecticut has increased at a much slower rate than inflation, do you suggest that it should be at the same rate or more?"	"New York Times  (1923-)"	""	""	"2024-06-26T13:57:05.542598Z"	""	1978	"1978-03"
1687	"az"	"fiscal"	"washington"	""	""	"2024-06-26T13:57:58.497741Z"	""	""	""	146877609	"future"	""	59539	"inflation-down"	""	47.028	"washington, dc"	""	10	"cause"	""	""	""	""	""	"northeast"	""	"national"	""	"district of columbia"	""	"future"	"The inflation package also drew support from Federal Reserve Chairman G. William Miller, who described it as a ""balanced, concerted and sustained program to fight inflation"" in a speech Wednesday night."	"Washington Post  (1974-) The"	""	""	"2024-06-26T13:57:58.497766Z"	""	1978	"1978-10"
1688	"az"	"fiscal"	"new york"	""	""	"2024-06-26T14:02:19.998225Z"	""	""	""	119836657	"present"	""	59540	"inflation-down"	""	259.66	"new york, ny"	""	7	"cause"	""	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	"future"	"A TOUGH  PROGRAM New Regulations Go Into Effect Aug. 12 in Other Sectors By EDWARD COWAN Sprclul to Ille New York frames WASHINGTON, July 18 President Nixon ended the freeze today on prices for health care and food, except for beef, as he out. the fourth phase of his 23-monthold effort to combat price and wage inflation."	"New York Times  (1923-)"	""	""	"2024-06-26T14:02:19.998245Z"	""	1973	"1973-07"
1689	"az"	"other-cause"	"new york"	""	""	"2024-06-29T14:45:07.747987Z"	""	""	""	123295513	""	""	59541	"inflation-na"	""	182.449	"new york, ny"	""	8	"cause"	"general"	""	""	""	""	"northeast"	""	"national"	""	"new york"	""	"general"	"What bothers these critics is that the uncertainty connected with floating rates raises the cost of doing business abroad; they also charge that floating rates make it more difficult to contain word inflation."	"New York Times  (1923-)"	""	""	"2024-06-29T14:45:07.748008Z"	""	1977	"1977-08"
1690	"az"	""	"los angeles"	""	""	"2024-06-29T14:46:12.578564Z"	""	""	""	158818195	""	""	59542	""	""	61.857	"los angeles, calif"	""	1	"none"	""	""	""	""	""	"west"	""	"local"	""	"california"	""	""	"Three  ago, I  a  anu- inflation program that couples responsible government restraint with responsible wage and price restraint It is based upon my knowledge that there is a more powerful force than government compul- sion-the force created by the cooperative efforts of millions of Americans working toward a com- mon goal."	"Los Angeles Times (1923-1995)"	""	""	"2024-06-29T14:46:12.578584Z"	""	1979	"1979-01"
