year,month,demand,expect,fiscal,international,monetary,other-cause,supply,wage
2012,1,0.0,0.0,0.1111,0.2222,0.0,0.0,0.6667,0.0
2012,2,0.0,0.0,0.2,0.0,0.2,0.0,0.6,0.0
2012,3,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0
2012,4,0.1176,0.0,0.1176,0.0588,0.1176,0.0,0.5882,0.0
2012,5,0.0,0.0,0.0,0.375,0.25,0.0,0.25,0.125
2012,6,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25
2012,7,0.0,0.0,0.3333,0.3333,0.0,0.0,0.3333,0.0
2012,8,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0
2012,9,0.2,0.0,0.0,0.0,0.6,0.0,0.2,0.0
2012,10,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2012,12,0.2,0.0,0.0,0.0,0.4,0.0,0.4,0.0
2013,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2013,2,0.0,0.0,0.0,0.0909,0.4545,0.0,0.2727,0.1818
2013,3,0.0,0.0,0.0,0.25,0.125,0.0,0.625,0.0
2013,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013,6,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2013,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013,8,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
2013,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2013,10,0.0,0.0,0.3333,0.0,0.6667,0.0,0.0,0.0
2013,11,0.0,0.0,0.0,0.3333,0.6667,0.0,0.0,0.0
2013,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014,1,0.0,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.0
2014,2,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.0
2014,3,0.0,0.0,0.3333,0.0,0.3333,0.0,0.3333,0.0
2014,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014,5,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.25
2014,6,0.0,0.0,0.0,0.1667,0.0,0.0,0.8333,0.0
2014,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014,9,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.3333
2014,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014,11,0.3333,0.0,0.0,0.0,0.6667,0.0,0.0,0.0
2014,12,0.0,0.0,0.0,0.3,0.2,0.0,0.3,0.2
2015,1,0.0,0.0769,0.0,0.1538,0.0,0.0,0.6154,0.1538
2015,2,0.0,0.0,0.0,0.0,0.2,0.0,0.7,0.1
2015,3,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25
2015,4,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0
2015,5,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25
2015,6,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2015,7,0.0,0.0,0.0,0.0,0.375,0.0,0.375,0.25
2015,8,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2015,9,0.0,0.0,0.0,0.1429,0.1429,0.0,0.7143,0.0
