city,state,urban,region,time,cost,cost-push,demand,expect,fiscal,govt,international,monetary,other-cause,other-effect,purchase,rates,redistribution,savings,social,supply,trade,uncertain,wage
"aberdeen, maryland",maryland,0,northeast,281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aberdeen, maryland",maryland,0,northeast,282,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"aberdeen, maryland",maryland,0,northeast,288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aberdeen, maryland",maryland,0,northeast,289,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"albany, new york",new york,0,northeast,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"albany, new york",new york,0,northeast,290,1,2,0,0,0,1,0,1,0,0,0,6,0,1,0,1,0,0,0
"albany, new york",new york,0,northeast,291,1,1,0,0,0,2,0,0,0,0,1,2,0,5,0,0,0,0,0
"albany, new york",new york,0,northeast,292,0,0,1,0,2,2,0,1,1,0,0,4,1,4,0,1,0,2,0
"albany, new york",new york,0,northeast,293,2,0,2,0,0,1,0,2,0,0,2,18,0,13,0,3,0,11,2
"albany, new york",new york,0,northeast,294,0,0,5,0,0,0,0,5,0,0,0,26,0,4,0,2,0,6,0
"albany, new york",new york,0,northeast,295,2,2,7,0,2,5,0,1,0,0,1,9,1,6,0,3,0,4,4
"albany, new york",new york,0,northeast,296,2,2,5,1,2,7,0,6,0,0,1,21,1,6,0,2,0,8,7
"albany, new york",new york,0,northeast,297,0,2,2,0,0,0,2,3,0,0,0,14,0,8,0,2,0,5,1
"albany, new york",new york,0,northeast,298,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
"albany, new york",new york,0,northeast,299,3,1,1,0,0,0,3,2,0,0,0,8,2,3,0,2,0,4,2
"albany, new york",new york,0,northeast,300,1,0,4,0,0,2,3,0,0,0,0,2,0,0,0,2,0,0,1
"albany, new york",new york,0,northeast,301,1,1,2,0,1,0,0,1,0,0,1,4,0,2,0,2,1,0,2
"albany, new york",new york,0,northeast,302,3,0,1,0,1,1,4,5,0,0,2,2,1,5,0,2,0,0,2
"albany, new york",new york,0,northeast,303,2,0,0,0,1,1,0,3,0,1,2,2,0,1,0,1,0,0,0
"albany, new york",new york,0,northeast,304,1,2,1,0,1,5,3,0,0,0,1,4,0,3,1,1,1,1,4
"albany, new york",new york,0,northeast,305,1,1,2,0,0,3,0,2,0,0,3,20,0,2,0,2,0,6,0
"albany, new york",new york,0,northeast,306,0,0,0,0,1,1,3,3,0,0,0,21,0,4,0,1,0,5,4
"albany, new york",new york,0,northeast,307,2,3,2,0,1,1,0,4,0,0,1,17,1,9,1,1,0,5,5
"albany, new york",new york,0,northeast,308,1,0,2,0,2,2,0,7,0,0,2,10,0,4,0,6,0,2,2
"albany, new york",new york,0,northeast,309,2,0,2,0,2,0,1,9,0,0,0,8,0,3,0,6,0,3,4
"albany, new york",new york,0,northeast,310,0,0,2,0,0,1,0,5,0,0,0,13,0,2,0,3,1,2,1
"albany, new york",new york,0,northeast,311,1,1,2,1,0,0,0,6,0,0,0,13,0,1,1,8,0,2,2
"albany, new york",new york,0,northeast,312,0,0,2,0,0,0,0,1,0,0,0,3,0,1,0,1,1,2,0
"albany, new york",new york,0,northeast,313,0,0,1,0,1,1,1,2,0,0,0,3,0,1,0,3,0,0,1
"albany, new york",new york,0,northeast,314,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0
"albany, new york",new york,0,northeast,315,1,1,0,0,2,0,0,1,0,0,1,3,0,2,0,1,0,0,1
"albany, new york",new york,0,northeast,316,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0
"albany, new york",new york,0,northeast,317,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"albany, new york",new york,0,northeast,318,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0
