yyyymm,ice_all,ice_a1834,ice_a3554,ice_a5597,ice_w,ice_nc,ice_ne,ice_s,ice_m,ice_f,ice_y13,ice_y23,ice_y33,ice_ehs,ice_esc,ice_ecd
201201,69.1,63.7,70.5,68.6,72.9,68.8,70.8,66,70.4,68.1,66.5,68.8,71.6,66.4,65.7,73.8
201202,70.3,80.7,77.1,62.6,70.5,71.6,70.2,69.5,73.1,68,65.4,66.3,80.3,64.4,71.6,75.3
201203,69.8,77.3,76.2,63.7,76.3,63.6,74.7,67.7,76.2,64.4,64.9,65.9,81,61.8,64.3,78.7
201204,72.3,80.5,78.1,65.7,73.7,69.9,75.8,71.3,76.4,68.8,64.3,71.6,79.6,68.8,68.8,77.5
201205,74.3,98.5,80.3,65.5,78,76.3,65.8,75.6,75.9,72.9,66.1,68,85.2,73.3,63.2,81.6
201206,67.8,83.4,72.7,62,71.8,67.3,62,68.8,69.9,65.8,69.7,66.1,66.9,66.3,60.8,74.1
201207,65.6,74,70.8,61.5,59.5,68.5,64.6,68.5,71.9,60.6,65.4,66,65.3,62.5,64.4,68.7
201208,65.1,78,70.4,58.6,68.9,64.5,56.1,68.5,63.5,66.2,63.8,67.2,68.9,66.7,62,66
201209,73.5,83.9,74,70.9,82.1,71.9,68.7,72,76.3,71.2,73.7,79.3,70.2,70.3,72.1,76.6
201210,79,93.4,85.6,71.3,75.9,83.5,74,80,79.1,79,82.9,72.6,85.4,73.1,77.2,84.1
201211,77.7,92.5,77.6,74.5,78.8,85.8,75.2,72.7,80.6,75,73.1,74.8,85.9,76.1,77.1,79.4
201212,63.8,84.6,68.2,57.2,69.1,69.1,62.3,56.7,58.2,68.6,61.4,64.7,64.7,57.5,63.6,69.3
201301,66.6,80.5,71.8,60.6,71.6,61.6,69.9,65.1,67.7,65.6,63.3,69.9,69.7,56.5,73.1,70
201302,70.2,82.5,70.9,65.2,76.7,68.3,73.4,65.7,73.5,67.4,67,74.5,73.5,66,62.4,78.9
201303,70.8,87.7,69.6,66.8,75.9,76.2,74.9,61.8,76.1,66,69,74.6,74.2,60.8,71.8,78.3
201304,67.8,87.2,67.8,62.3,66.9,69.7,70.2,65.7,71.7,64.7,65.8,72.4,66.8,60.6,70.1,71
201305,75.8,89.9,74.5,71.9,75.2,74.8,82.9,73.2,80.9,71.8,71,77.5,82.1,71.2,72.9,81.6
201306,77.8,90.4,85.9,68.9,80.3,78.3,74.2,77.6,84.1,72.6,68.5,79.5,87.6,68.4,77.6,85.6
201307,76.5,100.1,79.8,66.3,89.8,75.5,76.2,70.5,78.8,74.5,71.5,78.4,81.3,63.5,84.2,79.6
201308,73.7,82.7,79.3,66.3,75,69.4,74.9,75.3,78.1,69.6,64.5,78,79.9,65.2,68,84.1
201309,67.8,88.8,69.8,58.3,65.4,65.8,72.4,68.3,70.3,65.5,61.5,62.8,79.2,61.6,65.4,73
201310,62.5,77.2,66,56.5,56.8,67.5,56.2,65.2,64.9,60.2,59.4,60.8,68.4,57.5,60.2,66.7
201311,66.8,72.4,67.9,63.5,69,67.7,69.2,63.6,69.1,64.8,59.8,63.4,79.3,50,50,77.1
201312,72.1,88.4,77.4,64.4,74.1,67.4,74.5,73.3,76.5,67.7,66.7,72.2,79.4,54.3,74.5,79
201401,71.2,87.8,73.8,64.7,82.4,72.6,74.3,62.3,74.5,67.5,62.7,73.8,79.7,54.4,75.6,77.6
201402,72.7,97.1,77.3,62.4,70.2,76,73.4,71.5,74.9,70.5,61.5,72.9,84.5,62,72.6,78.4
201403,70,87.6,75.5,59,69.9,64,73.7,72.5,74,65.8,61.4,71.7,78.8,60.9,63.4,79
201404,74.7,95.9,72.2,67.2,77.7,80.5,69.6,71.3,78.1,71.3,69.4,74.3,83.6,60.6,76.9,80.1
201405,73.7,88.3,72.9,68,72.9,71.8,72.9,76.1,78,69.5,68.9,72,77.8,57.6,72.1,83.1
201406,73.5,85.5,81.5,64.4,78,67.6,82,69.9,75.4,71.5,65.3,79.6,79.2,61.5,76.1,78.3
201407,71.8,84,79.3,62.8,79,65,75.3,70.6,73.6,69.8,67.1,70.9,80.3,57.2,70.8,79.3
201408,71.3,87.2,71.2,64.8,81.2,68.7,71.6,67.2,71.6,71,61.9,70.2,84.1,53.5,78,76.7
201409,75.4,91.9,77.1,66.9,76.4,70.7,80.9,75.5,80.6,69.5,65.3,79.7,81.8,71,69.1,82.5
201410,79.6,95.8,79.3,72.2,90.1,77.3,77,76.6,85.9,72.5,71.2,80.9,90.3,71.3,70.6,88.6
201411,79.9,93.9,80.5,72.2,76.9,78,89.3,78.3,82.2,77.2,69.6,81.5,88.3,63.5,81.2,86.3
201412,86.4,104.5,91.8,74.3,87.9,82.3,86.1,88.2,95,77,83.2,84.5,93,83.9,74,93.8
201501,91,107.1,92.8,80.7,90.3,89.9,96.6,89.5,97.4,83.4,87.4,89.3,100,82.2,86.8,97.8
201502,88,104.9,93.3,74.9,89.5,84.3,89.2,88.9,90.4,84.9,88.7,83.1,92.9,83.5,86.4,90.9
201503,85.3,103.3,83.7,75.4,84.3,81.2,96.7,83.4,85.2,85.4,80,87.1,93.6,81.1,70.9,94.9
201504,88.8,101.8,96.8,74.5,86.6,87.2,100.3,86.7,95.9,79.8,81,87.7,98.7,76.9,86,96.3
201505,84.2,97.9,88.5,72.8,80.1,84.8,87.8,84.3,85,83.3,77.3,87.5,91.8,75.7,82.4,89.4
201506,87.8,104,90.8,77.6,85.7,88.6,87,89,88.6,87,82.9,86.1,95.1,80.7,78.6,97.5
201507,84.1,98.6,87.3,73.7,79.3,83.3,92.4,83.9,86.6,81.4,79,84.3,90.5,78.5,78.9,89.9
201508,83.4,105.4,87.5,68.2,83.8,83.9,86.2,81.8,88.9,76.3,81,82.2,89.2,77.8,82.4,86.9
201509,78.2,94.4,80.5,66.2,77.8,74.8,80.3,79.5,82.9,73.2,73.1,73,89.3,70.3,66.6,90.8
201510,82.1,97.4,86.4,69.5,84.8,81.7,84.1,79.7,88.4,74.5,82.1,75.7,90.9,74.4,80.4,87.2
201511,82.9,101.4,87.3,68,85.5,84.7,84.8,79.4,88.2,77.1,81.8,84.6,84.3,74.9,78.3,89.9
201512,82.7,97.2,86.2,72.2,83.6,85.4,80.7,81,88.9,74.9,75.5,93,80.3,75,79.6,89.6
201601,82.7,101.5,84.2,71.6,81.2,90.1,82.9,79,88.1,76.9,76.5,89.6,83.8,79.5,75.1,89.1
201602,81.9,98.6,85.6,68.9,83.4,87.2,83.5,76.8,89.9,71.9,76,86.1,84.1,74.6,84.8,84.2
201603,81.5,91.6,84.6,73.1,80.1,79.6,83.4,82.9,84.9,77.7,74.4,85.4,86.8,77.5,73.8,89.1
