Month,Year,Go Up,Stay the Same,Go Down,DK; NA,Relative,
1,2012,40,50,8,2,68,
2,2012,32,56,10,2,78,
3,2012,34,57,7,2,73,
4,2012,42,47,8,3,66,
5,2012,37,53,9,1,72,
6,2012,37,55,6,2,69,
7,2012,33,56,9,2,76,
8,2012,40,47,11,2,71,
9,2012,33,54,11,2,78,
10,2012,34,55,8,3,74,
11,2012,36,54,7,3,71,
12,2012,39,50,10,1,71,
1,2013,43,49,7,1,64,
2,2013,44,46,8,2,64,
3,2013,45,43,9,3,64,
4,2013,43,48,7,2,64,
5,2013,40,51,8,1,68,
6,2013,55,38,6,1,51,
7,2013,68,26,6,0,38,
8,2013,63,29,7,1,44,
9,2013,63,29,6,2,43,
10,2013,60,33,5,2,45,
11,2013,56,38,4,2,48,
12,2013,61,32,5,2,44,
1,2014,62,32,6,0,44,
2,2014,61,33,6,0,45,
3,2014,58,37,4,1,46,
4,2014,57,37,5,1,48,
5,2014,63,32,3,2,40,
6,2014,56,37,6,1,50,
7,2014,59,34,6,1,47,
8,2014,56,36,7,1,51,
9,2014,55,39,5,1,50,
10,2014,51,40,7,2,56,
11,2014,51,42,5,2,54,
12,2014,53,38,8,1,55,
1,2015,52,36,10,2,58,
2,2015,52,39,9,0,57,
3,2015,62,33,4,1,42,
4,2015,64,30,6,0,42,
5,2015,58,36,6,0,48,
6,2015,63,31,5,1,42,
7,2015,57,34,8,1,51,
8,2015,63,31,5,1,42,
9,2015,63,30,6,1,43,
10,2015,61,32,6,1,45,
11,2015,60,34,5,1,45,
12,2015,69,26,4,1,35,
1,2016,68,24,7,1,39,
2,2016,55,36,8,1,53,
3,2016,63,29,7,1,44,
4,2016,63,31,6,0,43,
5,2016,56,37,6,1,50,
6,2016,60,32,7,1,47,
7,2016,53,39,7,1,54,
8,2016,52,40,6,2,54,
9,2016,61,30,8,1,47,
10,2016,58,34,6,2,48,
11,2016,65,28,5,2,40,
12,2016,67,24,7,2,40,
1,2017,74,17,8,1,34,
2,2017,71,22,6,1,35,
3,2017,75,18,6,1,31,
4,2017,77,17,5,1,28,
5,2017,73,18,7,2,34,
6,2017,75,18,6,1,31,
7,2017,74,21,4,1,30,
8,2017,68,25,6,1,38,
9,2017,67,27,4,2,37,
10,2017,69,24,5,2,36,
11,2017,69,24,7,0,38,
12,2017,69,24,5,2,36,
1,2018,71,21,6,2,35,
2,2018,77,18,4,1,27,
3,2018,80,15,4,1,24,
4,2018,74,19,6,1,32,
5,2018,76,18,4,2,28,
6,2018,75,20,4,1,29,
7,2018,77,17,4,2,28,
8,2018,75,20,4,1,29,
9,2018,75,20,4,1,29,
10,2018,78,16,4,2,26,
11,2018,77,18,4,1,27,
12,2018,74,21,3,2,29,
1,2019,70,24,4,2,34,
2,2019,64,28,7,1,43,
3,2019,63,29,7,1,44,
4,2019,55,37,6,2,51,
5,2019,58,35,6,1,48,
6,2019,46,39,14,1,68,
7,2019,45,37,17,1,72,
8,2019,39,37,22,2,83,
9,2019,33,39,26,2,93,
10,2019,39,40,20,1,81,
11,2019,38,40,20,2,82,
12,2019,38,44,15,3,77,
1,2020,40,46,13,1,73,
2,2020,43,45,11,1,68,
3,2020,30,36,32,2,102,
4,2020,32,36,31,1,99,
5,2020,32,36,30,2,98,
6,2020,29,42,27,2,98,
7,2020,31,44,23,2,92,
8,2020,31,47,19,3,88,
9,2020,35,44,19,2,84,
10,2020,35,49,14,2,79,
11,2020,37,45,14,4,77,
12,2020,39,45,13,3,74,
1,2021,44,41,12,3,68,
2,2021,46,40,12,2,66,
3,2021,57,35,6,2,49,
4,2021,60,32,7,1,47,
5,2021,67,26,6,1,39,
6,2021,73,20,6,1,33,
7,2021,68,25,6,1,38,
8,2021,68,24,7,1,39,
9,2021,66,25,8,1,42,
10,2021,70,24,5,1,35,
11,2021,72,20,7,1,35,
12,2021,72,21,6,1,34,
1,2022,76,17,6,1,30,
2,2022,86,10,4,0,18,
3,2022,85,11,3,1,18,
4,2022,88,8,3,1,15,
5,2022,87,9,4,0,17,
6,2022,86,9,4,1,18,
7,2022,85,9,5,1,20,
8,2022,81,12,6,1,25,
9,2022,82,10,6,2,24,
10,2022,81,11,7,1,26,
11,2022,79,12,7,2,28,
12,2022,74,15,11,0,37,
1,2023,70,18,11,1,41,
2,2023,67,20,11,2,44,
3,2023,72,16,11,1,39,
4,2023,70,19,10,1,40,
5,2023,67,21,11,1,44,
6,2023,61,24,13,2,52,
7,2023,62,25,12,1,50,
8,2023,64,23,13,0,49,
9,2023,59,27,13,1,54,
10,2023,61,25,12,2,51,
11,2023,55,32,12,1,57,
12,2023,46,26,26,2,80,
1,2024,34,27,37,2,103,
2,2024,34,28,35,3,101,
3,2024,33,29,35,3,102,
4,2024,34,33,32,1,98,
