Quarter,Year,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard Deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th),
1,2012,1,11,18,22,19,5,10,3,10,1,4.2,15,3.9,1.8,3.4,5.3,3.5,
2,2012,3,14,19,23,16,5,8,2,9,1,3.7,15,3.9,1.4,3.1,5.1,3.7,
3,2012,2,13,18,21,17,5,11,3,10,0,4.2,18,4.2,1.6,3.3,5.3,3.7,
4,2012,3,13,18,23,15,4,9,3,10,2,4.1,20,4.5,1.5,3.1,5.2,3.7,
1,2013,2,10,20,23,16,5,10,3,10,1,4.3,17,4.1,1.8,3.3,5.3,3.5,
2,2013,1,12,23,22,16,4,9,3,9,1,4,16,4,1.5,3.1,5.1,3.6,
3,2013,1,11,23,24,15,6,9,3,7,1,4.1,16,3.9,1.4,3.1,5.2,3.8,
4,2013,3,10,26,24,15,5,8,2,6,1,3.7,14,3.8,1.4,2.9,5,3.6,
1,2014,1,8,24,26,15,5,9,3,8,1,4.1,16,4,1.7,3.2,5.1,3.4,
2,2014,1,9,24,25,16,6,8,3,7,1,4,13,3.6,1.7,3.2,5.1,3.4,
3,2014,2,7,25,27,14,5,9,2,8,1,3.9,13,3.7,1.7,3.2,5.1,3.4,
4,2014,4,12,24,27,15,3,5,2,8,0,3.2,12,3.5,1.2,2.8,4.7,3.5,
1,2015,4,12,25,24,15,5,5,2,8,0,3.1,13,3.5,1.1,2.8,4.7,3.6,
2,2015,2,11,29,24,12,5,6,2,8,1,3.3,11,3.3,1.2,2.7,4.7,3.5,
3,2015,2,11,26,25,14,4,6,3,8,1,3.4,13,3.6,1.3,2.8,4.8,3.5,
4,2015,2,14,27,22,13,4,7,2,8,1,3.3,12,3.4,1.1,2.7,4.7,3.7,
1,2016,4,16,26,21,14,4,7,1,7,0,3.1,13,3.5,0.9,2.6,4.8,3.9,
2,2016,1,13,31,25,12,3,6,2,6,1,3.1,11,3.3,1,2.6,4.5,3.5,
3,2016,3,14,29,23,12,4,7,1,6,1,3.1,11,3.3,1,2.5,4.6,3.6,
4,2016,3,15,32,20,13,4,5,1,6,1,2.9,11,3.3,0.9,2.4,4.6,3.7,
1,2017,3,14,27,22,13,4,7,1,8,1,3.2,11,3.4,1,2.6,4.7,3.7,
2,2017,2,14,30,23,12,3,6,2,7,1,3.1,11,3.4,1,2.5,4.5,3.5,
3,2017,2,13,29,24,13,3,6,1,8,1,3.1,10,3.2,1.1,2.6,4.6,3.5,
4,2017,2,13,31,23,12,4,6,1,7,1,3,10,3.1,1.1,2.5,4.4,3.3,
1,2018,2,12,28,26,15,3,6,1,6,1,3.1,9,3.1,1.2,2.7,4.6,3.4,
2,2018,1,10,28,27,14,3,7,2,8,0,3.4,10,3.2,1.4,2.8,4.7,3.3,
3,2018,2,12,25,26,13,4,7,2,8,1,3.5,12,3.4,1.4,2.8,4.8,3.4,
4,2018,2,11,27,24,13,4,7,2,9,1,3.4,12,3.5,1.3,2.8,4.7,3.5,
1,2019,3,12,30,26,12,4,5,1,7,0,3,10,3.1,1.1,2.6,4.3,3.2,
2,2019,1,11,30,24,13,4,6,2,8,1,3.4,10,3.2,1.2,2.7,4.7,3.4,
3,2019,2,13,28,23,14,5,7,2,6,0,3.3,12,3.5,1.1,2.7,4.8,3.7,
4,2019,2,15,30,22,12,3,6,2,7,1,3,11,3.3,0.9,2.5,4.5,3.6,
1,2020,5,16,28,22,12,3,5,1,7,1,2.7,11,3.4,0.8,2.4,4.1,3.3,
2,2020,13,19,11,14,13,4,11,3,11,1,3,27,5.2,0.1,2.8,5.3,5.1,
3,2020,6,19,15,19,15,4,10,2,9,1,3.4,19,4.3,0.5,2.9,5.1,4.6,
4,2020,6,20,19,18,13,5,7,2,9,1,3.1,16,4,0.5,2.6,4.9,4.4,
1,2021,3,13,19,20,13,6,10,4,12,0,4.1,18,4.3,1.3,3.1,5.4,4.1,
2,2021,3,7,16,21,16,7,10,8,12,0,5.4,31,5.5,2.2,4.1,7,4.9,
3,2021,3,7,13,21,17,9,11,10,8,1,5.9,38,6.2,2.5,4.6,8.4,5.9,
4,2021,5,7,11,17,17,10,12,13,8,0,6.4,46,6.8,2.6,4.9,9.7,7.1,
1,2022,4,6,9,18,18,12,14,12,7,0,6.7,43,6.6,2.9,5.1,9.8,6.9,
2,2022,5,7,8,15,17,14,15,15,4,0,7.9,84,9.2,3,5.3,10,7,
3,2022,8,13,8,13,15,12,12,15,3,1,7,97,9.9,1.5,4.9,9.7,8.3,
4,2022,8,13,8,15,15,12,11,15,3,0,7.1,105,10.3,1.6,4.8,9.7,8.1,
1,2023,9,16,10,17,15,9,11,10,3,0,5.7,83,9.1,0.5,3.9,7.6,7.1,
2,2023,7,16,11,18,15,9,10,10,4,0,6,92,9.6,1,4,7.3,6.3,
3,2023,7,16,13,20,16,7,9,8,3,1,5.3,71,8.4,0.8,3.4,5.8,5,
4,2023,7,15,10,22,15,9,9,10,3,0,5.6,77,8.8,1.2,3.6,6.8,5.6,
1,2024,9,20,13,20,13,6,9,7,3,0,4.4,59,7.7,0.3,2.9,5.3,5,
