Month,Year,Good Job,Fair Job,Poor Job,DK; NA,Relative,
1,2012,7,41,51,1,56,
2,2012,11,42,47,0,64,
3,2012,10,48,41,1,69,
4,2012,15,41,43,1,72,
5,2012,15,42,41,2,74,
6,2012,10,48,42,0,68,
7,2012,11,43,45,1,66,
8,2012,12,41,46,1,66,
9,2012,16,42,40,2,76,
10,2012,16,42,40,2,76,
11,2012,17,41,39,3,78,
12,2012,13,41,44,2,69,
1,2013,12,42,45,1,67,
2,2013,15,40,43,2,72,
3,2013,14,40,45,1,69,
4,2013,9,43,47,1,62,
5,2013,14,43,42,1,72,
6,2013,14,48,37,1,77,
7,2013,11,48,41,0,70,
8,2013,11,42,46,1,65,
9,2013,13,38,49,0,64,
10,2013,9,36,53,2,56,
11,2013,12,35,51,2,61,
12,2013,12,39,48,1,64,
1,2014,8,43,49,0,59,
2,2014,12,37,50,1,62,
3,2014,11,36,52,1,59,
4,2014,12,41,46,1,66,
5,2014,13,39,46,2,67,
6,2014,10,38,50,2,60,
7,2014,12,35,52,1,60,
8,2014,11,39,48,2,63,
9,2014,12,39,48,1,64,
10,2014,14,43,41,2,73,
11,2014,19,35,45,1,74,
12,2014,17,43,39,1,78,
1,2015,21,41,36,2,85,
2,2015,20,40,40,0,80,
3,2015,18,40,40,2,78,
4,2015,21,43,35,1,86,
5,2015,16,42,40,2,76,
6,2015,22,41,35,2,87,
7,2015,23,37,38,2,85,
8,2015,21,41,37,1,84,
9,2015,20,35,44,1,76,
10,2015,16,44,39,1,77,
11,2015,16,44,39,1,77,
12,2015,18,40,41,1,77,
1,2016,17,40,42,1,75,
2,2016,22,41,36,1,86,
3,2016,20,39,39,2,81,
4,2016,20,39,41,0,79,
5,2016,23,40,36,1,87,
6,2016,21,39,39,1,82,
7,2016,21,40,39,0,82,
8,2016,24,38,37,1,87,
9,2016,22,36,42,0,80,
10,2016,20,38,41,1,79,
11,2016,23,37,38,2,85,
12,2016,26,42,31,1,95,
1,2017,28,38,32,2,96,
2,2017,21,46,26,7,95,
3,2017,26,39,32,3,94,
4,2017,21,44,31,4,90,
5,2017,24,41,32,3,92,
6,2017,19,42,36,3,83,
7,2017,20,40,38,2,82,
8,2017,21,43,35,1,86,
9,2017,19,45,33,3,86,
10,2017,22,44,31,3,91,
11,2017,24,42,32,2,92,
12,2017,22,40,36,2,86,
1,2018,27,35,36,2,91,
2,2018,31,33,35,1,96,
3,2018,28,37,33,2,95,
4,2018,30,40,28,2,102,
5,2018,28,39,31,2,97,
6,2018,29,38,30,3,99,
7,2018,30,38,31,1,99,
8,2018,30,35,33,2,97,
9,2018,35,36,29,0,106,
10,2018,35,36,27,2,108,
11,2018,33,36,30,1,103,
12,2018,33,34,29,4,104,
1,2019,26,37,34,3,92,
2,2019,32,34,31,3,101,
3,2019,36,34,28,2,108,
4,2019,35,33,30,2,105,
5,2019,38,33,28,1,110,
6,2019,37,32,30,1,107,
7,2019,32,40,26,2,106,
8,2019,32,36,30,2,102,
9,2019,35,30,34,1,101,
10,2019,35,33,30,2,105,
11,2019,34,34,30,2,104,
12,2019,37,34,28,1,109,
1,2020,34,35,27,4,107,
2,2020,40,33,26,1,114,
3,2020,41,32,26,1,115,
4,2020,33,31,33,3,100,
5,2020,28,31,37,4,91,
6,2020,26,32,39,3,87,
7,2020,29,32,36,3,93,
8,2020,25,30,44,1,81,
9,2020,31,26,41,2,90,
10,2020,22,33,42,3,80,
11,2020,25,31,42,2,83,
12,2020,22,32,44,2,78,
1,2021,21,30,47,2,74,
2,2021,21,37,37,5,84,
3,2021,27,34,35,4,92,
4,2021,31,35,32,2,99,
5,2021,31,29,38,2,93,
6,2021,30,32,36,2,94,
7,2021,27,31,40,2,87,
8,2021,25,33,40,2,85,
9,2021,24,33,41,2,83,
10,2021,19,34,46,1,73,
11,2021,18,33,48,1,70,
12,2021,22,29,48,1,74,
1,2022,17,32,49,2,68,
2,2022,14,35,49,2,65,
3,2022,16,32,50,2,66,
4,2022,19,33,47,1,72,
5,2022,15,32,52,1,63,
6,2022,13,32,52,3,61,
7,2022,12,32,55,1,57,
8,2022,17,33,48,2,69,
9,2022,19,32,48,1,71,
10,2022,18,35,46,1,72,
11,2022,16,33,49,2,67,
12,2022,20,32,46,2,74,
1,2023,20,34,45,1,75,
2,2023,18,38,43,1,75,
3,2023,20,33,45,2,75,
4,2023,17,36,45,2,72,
5,2023,14,31,52,3,62,
6,2023,18,34,45,3,73,
7,2023,21,31,46,2,75,
8,2023,22,31,47,0,75,
9,2023,22,31,46,1,76,
10,2023,21,27,51,1,70,
11,2023,20,27,53,0,67,
12,2023,20,30,49,1,71,
1,2024,26,25,47,2,79,
2,2024,23,31,45,1,78,
3,2024,25,29,44,2,81,
4,2024,26,28,45,1,81,
