Quarter,Year,Good Job,Fair Job,Poor Job,DK; NA,Relative,
1,2012,9,44,46,1,63,
2,2012,14,43,42,1,72,
3,2012,13,42,44,1,69,
4,2012,16,41,41,2,75,
1,2013,13,41,44,2,69,
2,2013,12,45,42,1,70,
3,2013,11,43,45,1,66,
4,2013,11,37,51,1,60,
1,2014,10,39,50,1,60,
2,2014,12,39,47,2,65,
3,2014,11,38,49,2,62,
4,2014,17,40,42,1,75,
1,2015,20,40,39,1,81,
2,2015,20,42,37,1,83,
3,2015,21,38,39,2,82,
4,2015,17,42,40,1,77,
1,2016,20,40,39,1,81,
2,2016,21,40,38,1,83,
3,2016,22,38,39,1,83,
4,2016,23,39,36,2,87,
1,2017,25,41,30,4,95,
2,2017,22,42,33,3,89,
3,2017,20,43,35,2,85,
4,2017,22,42,33,3,89,
1,2018,29,35,35,1,94,
2,2018,29,39,30,2,99,
3,2018,32,36,31,1,101,
4,2018,34,35,29,2,105,
1,2019,31,35,31,3,100,
2,2019,36,33,29,2,107,
3,2019,33,36,30,1,103,
4,2019,36,33,30,1,106,
1,2020,38,34,26,2,112,
2,2020,29,31,36,4,93,
3,2020,28,30,40,2,88,
4,2020,24,31,43,2,81,
1,2021,23,34,40,3,83,
2,2021,31,32,36,1,95,
3,2021,25,33,40,2,85,
4,2021,19,33,47,1,72,
1,2022,16,32,50,2,66,
2,2022,15,33,50,2,65,
3,2022,16,32,50,2,66,
4,2022,18,33,47,2,71,
1,2023,19,35,44,2,75,
2,2023,16,34,47,3,69,
3,2023,21,31,46,2,75,
4,2023,20,28,51,1,69,
1,2024,25,28,46,1,79,
