text,pred,gold
"""Bankrupt in its economic thinking, this Democratic Ad- ministration accepts a Republican recession as the only weapon it is willing to use to fight inflation,"" Kennedy said in a statement issued by his campaign headquarters.",['demand'],['fiscal']
"""But what really happened was that the economy, foreign poli- cy, inflation, unemployment and Iran-those were the things people were voting on.",['social'],['social']
"""Congress' action was part of a general response to inflation....","['savings', 'uncertain']",['govt']
"""Demands that anticipate anticipate inflation only help to make It inevitable.""",['expect'],['expect']
"""Energy price generated inflation will continue to be a serious problem,"" says Ed Rothschild, executive director of Energy Action, a consumer activist group.",['supply'],['supply']
"""High rates of inflation affect more people than unem- ployment,"" he said.",['social'],['cost']
"""If one of them [Carter or Reagan] is elected and Congress is so foolish as to go along with the kind of tax programs they have recommended, and we do-as I believe we will-see a resurgence of inflation, it will be possible to go back and point these things out.",['fiscal'],['fiscal']
"""If the public thinks high inflation is here to stay, we're going to have a tough time,"" Matz said in a recent interview.",['expect'],['expect']
"""If you think inflation in the nation nation is bad. it is really bad in the Twin Cities,"" where housing and energy costs generally are higher than the national average, Son said. er In a higher tax bracket while reducing his buying power, which likely will result in slower retail-: sales growth In the Twin Cities during the rest of 1978, Son said.","['cost', 'purchase']",['purchase']
"""Inflation has slowed, but people's perception of that changes,"" he said.",['uncertain'],['expect']
"""It is time for the Congress to demonstrate its commitment to the battle against inflation.""",['fiscal'],['fiscal']
"""The F.T.C.'s role is to insure that consumers actually get what they're paying for with their inflation-ridden dollars,"" he said.",['purchase'],['purchase']
"""The central policy issue;' the report said,""is striking a balance between thc stimulus the economy must have if it is to continue its recovery, and the restraint needed to avoid rekindling high rates of inflation""One fiscal strategy-""by no means the only one""-to achieve this balance, the report said, would be the adoption of a ""current policy""budget.",['fiscal'],['fiscal']
"""The corrosive effects of inflation eat away at the ties that bind us together as a people,"" said President Carter Thursday in the third of the messages--the budget, the State of the Union, and the Economic Report--that make up the traditional January triad.",['social'],['social']
"""The recession is in full swing,"" observed Nguyen Ngoc Linh, president of the Mekong Group of Companies and one of South Vietnam's most successful businessmen. if the rate of inflation keeps up-about 40 per cent a year - if the price of rice keeps climbing, if foreign investors continue to shy away, Mr. Linh said,""then everything will fall apart.""","['cost', 'social', 'trade', 'uncertain']",['trade']
