text,pred,gold
"""'In 2M> years Fraser has brought Australian inflation down from an annual rate of 17 percent to just over 9 percent.",['no narrative'],['fiscal']
"""Bankrupt in its economic thinking, this Democratic Ad- ministration accepts a Republican recession as the only weapon it is willing to use to fight inflation,"" Kennedy said in a statement issued by his campaign headquarters.",['fiscal'],['fiscal']
"""But what really happened was that the economy, foreign poli- cy, inflation, unemployment and Iran-those were the things people were voting on.",['social'],['social']
"""Congress' action was part of a general response to inflation....",['fiscal'],['govt']
"""Considering our out-of-pocket costs and an inflation rate of 15 percent, we figure our break-even point at $67,000.",['savings'],['no narrative']
"""Demands that anticipate anticipate inflation only help to make It inevitable.""",['demand'],['expect']
"""Doing nothing, given the inflation problem.-would probably be the worst course,"" he says.",['no narrative'],['no narrative']
"""Energy price generated inflation will continue to be a serious problem,"" says Ed Rothschild, executive director of Energy Action, a consumer activist group.",['supply'],['supply']
"""High rates of inflation affect more people than unem- ployment,"" he said.",['no narrative'],['cost']
"""I did not become chairman of *.the Fed to add to the nation s inflation prob. leto,"" Burns is reported to have said at the W'hite House dinner.",['no narrative'],['no narrative']
"""I'm not a big bear on the inflation outlook,"" Warner adds,""it s just that I don't see any reason for improve- ment.""",['no narrative'],['no narrative']
"""INFLATION FIGHTER' N THE REAL MEAL The Pasta House 1 Lb.",['no narrative'],['no narrative']
"""If one of them [Carter or Reagan] is elected and Congress is so foolish as to go along with the kind of tax programs they have recommended, and we do-as I believe we will-see a resurgence of inflation, it will be possible to go back and point these things out.","['fiscal', 'govt']",['fiscal']
"""If the public thinks high inflation is here to stay, we're going to have a tough time,"" Matz said in a recent interview.",['uncertain'],['expect']
"""If you think inflation in the nation nation is bad. it is really bad in the Twin Cities,"" where housing and energy costs generally are higher than the national average, Son said. er In a higher tax bracket while reducing his buying power, which likely will result in slower retail-: sales growth In the Twin Cities during the rest of 1978, Son said.",['purchase'],['purchase']
"""Inflation has slowed, but people's perception of that changes,"" he said.",['no narrative'],['expect']
"""It is my sound judgment we have succeeded in making this change (from an inflationary state) and we have very little danger of making an inflation ary resumption,"" he said.",['no narrative'],['no narrative']
"""It is time for the Congress to demonstrate its commitment to the battle against inflation.""",['govt'],['fiscal']
"""It may not look good, but it is bet- ter than the 10% inflation rate we re facing now,"" Kahn said.",['no narrative'],['no narrative']
"""It's not that I don't think we will be able to bring down inflation,"" inflation,""he said in explanation of his nightmare,""hut we are building such a complex set of controls, there is a danger we will not be able to dismantle it.""",['monetary'],['no narrative']
"""My own evaluation of the economic outlook does lead me to conclude that the upturn will be enough to be accompanied by continued measurable progress in bringing down the rate of inflation,"" he said.",['no narrative'],['no narrative']
"""Narrowing the range of estimates of output loss and developing a measure of the benefits associated with anti-inflation policies should be high on the priorities for macroeconomic research in the 1980s,"" he and Mr. Rasche suggest.",['no narrative'],['no narrative']
"""That can be interpreted as nothing but a collision course,"" he told reporters at a press conference called to explain a new set of Brookings papers on innovative ways to fight inflation.",['no narrative'],['no narrative']
"""The F.T.C.'s role is to insure that consumers actually get what they're paying for with their inflation-ridden dollars,"" he said.",['govt'],['purchase']
"""The central policy issue;' the report said,""is striking a balance between thc stimulus the economy must have if it is to continue its recovery, and the restraint needed to avoid rekindling high rates of inflation""One fiscal strategy-""by no means the only one""-to achieve this balance, the report said, would be the adoption of a ""current policy""budget.",['fiscal'],['fiscal']
"""The corrosive effects of inflation eat away at the ties that bind us together as a people,"" said President Carter Thursday in the third of the messages--the budget, the State of the Union, and the Economic Report--that make up the traditional January triad.",['social'],['social']
"""The near-term outlook for the Chica- go area shows an end to the recession and the beginning of recovery, with moderate inflation for the rest of 1975,"" she said.",['no narrative'],['no narrative']
"""The reason: Inflation.",['no narrative'],['no narrative']
"""The recession is in full swing,"" observed Nguyen Ngoc Linh, president of the Mekong Group of Companies and one of South Vietnam's most successful businessmen. if the rate of inflation keeps up-about 40 per cent a year - if the price of rice keeps climbing, if foreign investors continue to shy away, Mr. Linh said,""then everything will fall apart.""",['cost-push'],['trade']
"""These controls are needed now, on a temporary basis, to cool inflation inflation and provide time to implement more far-reaching programs to maintain economic stability,"" Sasser said..' s, Sasser made the request in a telegram to Federal Reserve Chairman Chairman Paul Volcker.",['monetary'],['monetary' 'fiscal']
"""These tax subsidies have not only greatly contributed to windfall profits of the oil Industry,"" I.uken said ""hut have heen a major cause of our current runaway Inflation.""",['supply'],['fiscal']
"""To cushion workers against the effects effects of inflation, unions are expected to demand not only 'normal' wage increases, increases, but also catch-up wage boosts and escalator clauses in their contracts;"" contracts;""the board said in a summary of the Forum survey findings used for the 1976 forecast.","['wage', 'purchase']",['cost']
"""We are in a crisis of inflation which steadily saps the earnings ana savings of our people.",['purchase'],['purchase' 'savings']
"""We continue to remain exceeding- ly skeptical about variable-rate mort- anop""he stuart Davis, chairman and chief executive of Great Western Savings & Loan Assn,, Beverly Hills, Calif., speaking for the U.S. League of Sav- ings Assns., denied that variable rates would exaggerate inflation.",['no narrative'],['other-cause']
"""We should have a list In two weeks of things that are feasible that make sense"" in the effort to slow Inflation of food costs, Kahn told the Senate Budget Committee.",['no narrative'],['no narrative']
"""We'll talk about galloping Inflation.",['no narrative'],['no narrative']
"""When the magma is fed into the reservoir (analogous to air filling a balloon),"" he writes,""the internal pressure increases, and the surface layers are pushed upward and outward in order to accommodate the swelling or inflation.""",['supply'],['no narrative']
"""You no longer can count on being rescued from investment mistakes by, general price inflation.""",['savings'],['savings']
"' V,':rmr ""I,;i clp-'t""- y:y lySl nCTJ 1Kb 7:?;i::;1 Hffy V -nl -UiJ: ""!F I O)V- LHi Ny IfJ.I v' '; p'i y.y;.;;;y jyy l v:yyy C Jialt: j Jo I 1 - 8 THE REALISTIC MODULAIRE-8 WAS A FAST-SELLING BARGAIN AT OUR REGULAR PRICE! 1, I Roll back inflation as you enjoy our 3-piece Modulaire-8 recorderreceiverplayer at spectacular 25 savings!",['savings'],['no narrative']
"', Goldfinger and other labbr spokesmen have blamed Nixon's policies of tight money, money, high interest and federal budget cuts last year for boosting unemployment afid curbing business without stopping stopping inflation.",['monetary'],['monetary' 'fiscal']
"'They have and will cause Inflation to accelerate in the state and the Chicago area, destroy jobs that otherwise would be available, lower family income, and increase taxes,""he said.",['cost'],['govt' 'purchase' 'cost-push']
"(It\-, like almost ev- erything else. pelts have joined the Inflation;i game: They averaged only $8.56. each in 1972; the de- partment said, but now a' good specimen brings up to $25.) j Pr*dator Control In addition to what hun- ters killed,:;s government agencies ""re- moved"" 36,723 coyotes in the last four years In pre- dator control programs in- in the state to meet complaints of far- mers and stock breeders.",['no narrative'],['no narrative']
"(R-Shelbyville). who serves on the House Education Committee, said the supplemental supplemental appropriations were intended to help teachers ""catch up"" with inflation by providing enough for a minimum 8; percent to 10 percent salary hike this year.","['wage', 'govt']",['govt']
"* If inflation rages, Washington is the cause and only Washington can provide the cure.",['fiscal'],['fiscal' 'govt']
",' Part of the reason for soaring food prices, of course, has been agriculture's share of inflation. inflation.",['supply'],['supply']
"- - House Republican leader' Charles A. Halleck of Indiana T said that the rocketing cost of' Government could cause inflation and ""take away the advantage"" -expected from the cut in tax-rates. tax-rates.",['fiscal'],['fiscal']
"- Dorado""The President, of course, Is BESIDES, the country is prosperous prosperous despite the inflation, and most of the Republican leaders have fumbled the peace issue by calling for more bombing rather than less.",['no narrative'],['no narrative']
"-A $5.1 million reduction in proposed construction and expan- sion projects, the result of which would be to ultimately cost the DWP more in the future because of inflation.",['cost-push'],['no narrative']
"12G Sun., Juno l, lwto SI LOUIS POST-DISPATCH 1 V pag?Mi 1 senator soaper meviews By Jim Fleblg THE ONLY way Inflation Inflation will go down is if Carter comes up with a plan to increase it.",['no narrative'],['fiscal']
"254.65371 lfyr""i'iT FOR CHURCHES, HOMES, SCHOOLS By WAYNE WIUTT I Inflation and the slumping economy have caused more people to be delinquent with their property tax payments this year than in any previous year for some time, Metro Trustee Glenn Ferguson said yesterday.",['govt'],['cost']
"4A THE MINNEAPOLIS STAR Mon., Aug. 7, 1978 Inflation wipes out Associated Press Ardith Evitt's chute opened after she jumped from the plane yesterday At 74, she falls 3,000 feet, breaks...a record'.",['no narrative'],['no narrative']
