file_id,year_month,title,loc,text,scope,year,month,city,state,region,annotator
1893403953,1979-01,Indianapolis Star (1923-),indianapolis,Americans must try to rescue the paper dollar and reduce inflation.,local,1979,1,indianapolis,indiana,midwest,mh*
1868836585,1980-03,Courier-Journal (1923-) The,louisville,"I synthesized all of this, took those needs, projected the impact of inflation over the next four years, and was then able to say to contributors: 'Here is what it will cost to maintain the programs programs we have, and these are the programs programs that we can create if we have additonal money.",local,1980,3,louisville,kentucky,southeast,mh*
1820369030,1973-07,Detroit Free Press (1923-),detroit,So has inflation though it's not fashionable to say that now.,local,1973,7,detroit,michigan,midwest,mh*
1888983927,1979-07,Cincinnati Enquirer (1923-),cincinnati,"You put your money in a savings account and you lose because the interest rate is negative compared with inflation, and then your government taxes you as if you had made a profit.""",local,1979,7,cincinnati,ohio,midwest,mh*
1868092264,1975-01,Courier-Journal (1923-) The,louisville,"Opinion Food stamps: The President should reverse the cutback TWO MONTHS AGO, President Ford was focusing hard on inflation rather than recession. recession.",local,1975,1,louisville,kentucky,southeast,mh*
123561701,1978-12,New York Times  (1923-),"new york, ny","[A18:1-2.] 0 Nine black leaders were more optimistic after a meeting with President Carter than a similar group was after a meeting with him last week. Mr. Carter, who had previously indicated that some social programs:would have to be sacrificed in the fight against inflation, told the black leaders yesterday that the budget issue was still under discussion with his advisers: (A21:1-3.]",national,1978,12,new york,new york,northeast,mh*
1868156312,1975-06,Courier-Journal (1923-) The,louisville,She said such a move would increase inflation and cause unemployment to rise daily.,local,1975,6,louisville,kentucky,southeast,mh*
1878307122,1974-05,Minneapolis Star (1947-1982),minneapolis,Critics of the Fed concede that the inflation inflation problem needs major attention.,local,1974,5,minneapolis,minnesota,midwest,mh*
1878226491,1974-10,Minneapolis Tribune (1964-1982),minneapolis,"In a nationally broadcast Democratic response to President Ford's economic program, Mansfield also called for allocation of credit, a broad system of tying workers' wages to living costs and a tax break for the poor. Mr. Ford's inflation-fighting program, built around a 5-percent surtax on middle middle -income families, ""bears too too close a resemblance resemblance to the fiscal and monetary policies of the previous administration, administration, policies which have long since proved to be in-adequate in-adequate to meet the emergency,"" the Montana Democrat said.",local,1974,10,minneapolis,minnesota,midwest,mh*
1878204461,1974-05,Minneapolis Star (1947-1982),minneapolis,"""That would mean continued continued rapid inflation.""",local,1974,5,minneapolis,minnesota,midwest,mh*
1906330332,1974-12,Tennessean (1972-) The,nashville,Here are a few typical vignettes: vignettes: A Seattle engineer told us that inflation had reduced his purchasing power 25 per cent.,local,1974,12,nashville,tennessee,southeast,mh*
1892788306,1972-06,Indianapolis Star (1923-),indianapolis,We are trying to fight Inflation too.,local,1972,6,indianapolis,indiana,midwest,mh*
162748722,1980-04,Los Angeles Times (1923-1995),"los angeles, calif",Soaring inflation and new government credit curbs have slowed banks' earnings growth in recent months.,local,1980,4,los angeles,california,west,mh*
1868007699,1973-10,Courier-Journal (1923-) The,louisville,"That is, if it isn't earning enough, it's actually losing value through inflation.",local,1973,10,louisville,kentucky,southeast,mh*
1820933376,1977-04,Detroit Free Press (1923-),detroit,"""We are making some clear headway in controlling costs and absorbing some of the impact of inflation,"" Bailar said.",local,1977,4,detroit,michigan,midwest,mh*
747089259,1977-04,Boston Globe (1960-),"boston, mass","Ford derides anti-inflation plan By Lou Cannon Washington Post LOS ANGELES Former President Gerald Ford ended his self-imposed political honeymoon ith President Carter yesterday by ridiculing the Carter anti-inflation package Mr Carter's anti-inflation progr n came in like alion Ford said It's going out like mouse The three-point package announced Friday by Carter features largely voluntary measures that Administration spokesmen said would restrain excessive wage or price increases Carter reportedly scrapped at the last moment plan to start Industry-by-industry discussions over pending wage and price increases after both business and labor leaders objected Ford made no specific to this abandoned feature or to any of the various Carter proposals to reduce Inflation by overhauling government regulations that affect industry and agriculture But Ford said Carter's program was Just talk Ford said renewal of runaway inflation now faced the United States and could not be halted except by tough restrictions on government spending IHd suggested using the budget that he submitted to Congress before he left office as the basis for reduction in Federal spending STUDENT CLEANUP--Students of Grades 7 and 8 at St. Williams School, Dorchester cleaned up yards in area to get ready for school s 50th anniversary to be celebrated today. today.",local,1977,4,boston,massachusetts,northeast,mh*
1893390737,1978-12,Indianapolis Star (1923-),indianapolis,"But that resolution did not get enough signatures to get on the floor, so the only major debate was over Mr. Carter's handling of inflation and the budget.",local,1978,12,indianapolis,indiana,midwest,mh*
162792567,1980-05,Los Angeles Times (1923-1995),"los angeles, calif",Housing prices in Boulder have increased at more than twice the rate of inflation over the last five years.,local,1980,5,los angeles,california,west,mh*
123688291,1978-05,New York Times  (1923-),"new york, ny",But only in A.T.& T.'s case was this cost restraint specifically linked to price restraint; an ;Innotmcement of execut.ivt: pay  was coupled with o freeze on the prices of phone .'I hat won t contribute much to reducing the nation s inflation rule.,national,1978,5,new york,new york,northeast,mh*
147119188,1979-02,Washington Post  (1974-) The,"washington, dc","Workers observing the 7 percent wage standard, Kahn said, would not be getting any real wage increases for the next several months because inflation will be running higher than that.",national,1979,2,washington,district of columbia,northeast,mh*
1868619838,1979-03,Courier-Journal (1923-) The,louisville,"The council council said the requests for freight-hauling charges ""exceed the president's anti-inflation standards.""",local,1979,3,louisville,kentucky,southeast,mh*
1901429631,1972-10,St. Louis Post-Dispatch (1923-),st louis,"If inflation were to become a problem, the memo said, the Office of Management and Budget could simply impound some of the money and retuse to allow its expenditure.",local,1972,10,st louis,missouri,midwest,mh*
133852647,1973-04,Wall Street Journal  (1923-),"new york, ny","Dealers are concerned about the impact of a tightening monetary policy, rising inflation, pressure from an accelerating economy and a rising volume of government agency offerings.",national,1973,4,new york,new york,northeast,mh*
120862055,1979-05,New York Times  (1923-),"new york, ny","It was the largest drop since January 1978. the method is to take average weekly earnings of a married worker with three dependents and adjust them for inflation, Social Security payments and Federal income taxes. the results are what the Labor Department calls real spendable earnings.",national,1979,5,new york,new york,northeast,mh*
1888065694,1969-03,St. Louis Post-Dispatch (1923-),st louis,; OFFERED 8 TIMES GROSS'- : 7514 OXFORD; secure your flnari: i. clal future by solid nedges againsx Inflation.,local,1969,3,st louis,missouri,midwest,mh*
