count,source,city,state,zip code,latitude,longitude,circulation,scope
1364,YAHOO!News,no data,no data,no data,,,no data,National
1069,New York Post,New York County,New York,10009,40.7229412,-73.9829274,528321,National
1016,Fox News,Grapevine,Texas,75261,32.8977936,-97.0358114,no data,National
818,chicago.suntimes.com,Chicago,Illinois,no data,41.8755616,-87.6244212,no data,Regional
758,Yahoo,Sunnyvale,California,no data,37.4181243,-122.0253802,no data,National
725,New York Daily News,New York County,New York,10035,40.74975355,-73.97321263,no data,Regional
630,al.com,Montgomery,Alabama,36104,32.381058,-86.3101937,no data,Regional
601,Chicago Tribune,Chicago,Illinois,60611,41.8905633,-87.6233644,243362,Regional
564,nypost.com,San Francisco,California,94110,37.7506,-122.4121,no data,National
555,CBS News,Kent,Washington,98032,47.38815415,-122.2468448,no data,National
539,Yahoo! Sports,Sunnyvale,California,no data,37.4181243,-122.0253802,no data,National
530,SFGate,no data,no data,no data,37.7790262,-122.419906,no data,Regional
419,Washington Post,no data,no data,no data,38.8950368,-77.0365427,141135,National
370,ABC,Washington,District of Columbia,20068,38.9072,-77.0369,no data,National
342,Houston Chronicle,Houston,Texas,77413,29.7860299,-95.6831057,140164,Regional
329,Associated Press,New York County,New York,10111,40.7595303,-73.97865512,no data,National
329,abcnews.go.com,no data,Kansas,no data,38.9030073,-100.5073968,no data,National
305,Chicago Sun-Times,Chicago,Illinois,60654,41.8881455,-87.6376997,74793,Regional
298,New York Times,Romulus,Michigan,48174,42.2063947,-83.3592974,338761,National
296,NBC News,Universal City,California,91608,34.1429637,-118.360565,no data,National
287,YAHOO!,Sunnyvale,California,no data,37.4181243,-122.0253802,no data,National
278,foxnews.com,Chicago,Illinois,60602,41.8874,-87.6318,no data,National
273,cleveland.com,Cleveland,Ohio,no data,41.4996574,-81.6936772,no data,Regional
257,msn.com,Madison,Wisconsin,53704,43.1420815,-89.33774534,no data,National
245,mlive.com,Lansing,Michigan,48933,42.7331059,-84.5525504,no data,Regional
244,nbcnews.com,Portland,Oregon,97207,45.5235,-122.676,no data,National
244,washingtonpost.com,Ashburn,Virginia,20149,39.0469,-77.4903,no data,National
242,ABC News,Portland,Oregon,97207,45.5235,-122.676,no data,National
233,washingtonexaminer.com,no data,no data,no data,,,no data,National
230,wral.com,Raleigh,North Carolina,27695,35.77972095,-78.67465548,no data,Regional
225,reviewjournal.com,San Francisco,California,94110,37.7506,-122.4121,no data,National
223,Patch,no data,no data,no data,38.5440983,-90.2597136,no data,National
223,dallasnews.com,Dallas,Texas,no data,32.7762719,-96.7968559,no data,Regional
220,Washington Times,Ward 5,District of Columbia,20002,38.91699315,-76.95503095,no data,National
219,CBS Boston / WBZ,Kent,Washington,98032,47.38815415,-122.2468448,no data,Local
219,CNN,San Francisco,California,94107,37.7618,-122.399,no data,National
201,Los Angeles Times,El Segundo,California,90245,33.93043085,-118.3823933,494238,Regional
201,NBCNews.com,Portland,Oregon,97207,45.5235,-122.676,no data,National
192,wreg.com,Shelby County,Tennessee,38133,35.1812001,-89.8323078,no data,Local
191,The Baltimore Sun,Port Covington,Maryland,21230,39.26502845,-76.61024405,23586,Regional
191,pilotonline.com,no data,no data,no data,37.1232245,-78.4927721,no data,Regional
189,arkansasonline.com,no data,no data,no data,35.2048883,-92.4479108,no data,Regional
188,nydailynews.com,no data,no data,no data,40.7127281,-74.0060152,no data,Regional
185,USA Today,Stratham,New Hampshire,3885,43.0270451,-70.8930196,174809,National
184,twincities.com,Minneapolis,Minnesota,no data,44.9772995,-93.2654692,no data,Regional
178,The Arizona Republic,Phoenix,Arizona,85027,33.691811,-112.102286,no data,Regional
177,abc13.com,Houston,Texas,no data,29.7589382,-95.3676974,no data,Local
