id	text	Property	label	narrative_time	weight	region	city	state	scope
24316294	"""At the end of the day, we want to influence economic activity, expectations and the exchange rate,"" Espenilla said, parrying criticism about the central bank's supposed inaction on inflation."""	effect			0				
198769	"""For the last 12 months, we've reached an inflation of 6.6 percent,"" he says."	effect			0	northeast	Ward 6	District of Columbia	National
2011630	"""I think he points out the sometimes self-inflation of on-camera television journalists, but as with satire, it's a serious comment and we need to take it in and be able to laugh at it, enjoy it, and maybe do something about it."""	effect			0	northeast	Stratham	New Hampshire	National
14610563	"""If oil prices are headed higher from here, so will headline inflation in coming quarters,"" said Peter Boockvar, chief market analyst at The Lindsey Group, in an email."	effect			0	northeast	Washington	District of Columbia	National
81443221	"""In terms of future policy action, there is certainly scope for further rate move given weak domestic demand conditions and a contained inflation trajectory."	effect	rates	future	1	west	Sunnyvale	California	National
86902121	"""On its own, this is usually bullish gold,"" BofA said of increased inflation expectations."""	effect	savings	general	1	northeast	State College	Pennsylvania	National
18618144	"""Overall, most participants viewed the recent softer inflation data as primarily reflecting transitory factors, but a few expressed concern that progress toward the Committee's objective may have slowed,"" the minutes of the closed-door meeting read."	effect			0				
15197284	"""The Bank of England will be forced to cut rates in the face of higher inflation as it focuses on improving growth whilst sacrificing its inflation targets,' Gartside said ahead of the Bank's announcement Thursday."	effect	rates	future	1	southeast	Kenner	Louisiana	National
21448987	"""The market seems to be, in my view, making the same mistake it made earlier in the year which is focusing too much on growth and not enough on inflation,"" Kallum Pickering, senior U.K. economist at Berenberg, told CNBC Thursday."	effect	savings	present	1	southeast	Kenner	Louisiana	National
86243300	"""They were of the opinion that this low interest rate level supports the recovery of economic activity and the gradual return of the inflation rate to within the target range, and particularly in view of the Bank of Israel operating additional tools in the credit market,"" the minutes said."	effect			0	midwest	Eagan	Minnesota	National
88974060	"""This is the first time that our generation is experiencing such a historic rate of inflation, and it is hurting family budgets across America,"" Stefanik said."""	effect	cost	present	1	southwest	Grapevine	Texas	National
18152341	"""Underlying inflation pressures continue to remain subdued and have yet to show a convincing upward trend...The ongoing volatility in headline inflation underlines the need to look through transient developments which have no implication for the medium-term outlook for price stability,"" Draghi added."	effect			0	southeast	Kenner	Louisiana	National
70107905	"""When I look at Amazon, I'm seeing a company that's working to control wage inflation by embracing automation at its warehouses and eliminating monthly bonuses and stock grants,"" Cramer said."""	effect			0	southeast	Kenner	Louisiana	National
88775652	"""While some are concerned that rising input prices will eat into margins, we expect margins to remain resilient thanks to strong activity and prices outpacing wage inflation,"" Kolanovic explained."	effect	cost-push	present	1	northeast	State College	Pennsylvania	National
22309044	"""Why are we raising rates when inflation is low and falling?"""	effect	rates	present	1	southeast	Kenner	Louisiana	National
89101655	(Bloomberg)--Economists have boosted their U.S. inflation forecasts--again--and downgraded expectations for economic growth through most of 2023, underscoring growing risks to the outlook as the Federal Reserve tries to curb the fastest price growth in decades.	effect	rates	present	1				
