title,start_year,end_year,article_count
13.7 Cosmos & Culture [BLOG],2016,2017,4
60 Minutes,2010,2015,61
AM New York,2008,2019,329
"AZB, Arizona Business",1971,2004,2443
Abilene Reporter-News,2011,2025,2321
Advocate,1994,2011,509
Advocate The,2002,2025,2950
Afro - American Red Star,1993,2022,192
Afro-American,2003,2025,553
Afro-American (1893-),1925,2010,2415
Alabama Reflector [BLOG],2023,2025,425
Alamogordo Daily News,2010,2024,863
Alaska Beacon [BLOG],2023,2025,259
Alaska Dispatch,2021,2025,1200
Alaska Dispatch News,2016,2016,2
Alaska Journal of Commerce,1985,2024,2561
Albuquerque Journal,1995,2023,2038
All Politics Blog [Milwaukee Journal Sentinel - BLOG],2010,2011,22
All Things Considered,1971,2025,7407
Amanpour Hour (CNN) The,2023,2024,14
America's Newsroom,2023,2024,28
American Banker,1982,2022,5147
American Banker (pre-1997 Fulltext),1987,1996,5048
American Israelite The,2011,2023,50
American Prospect Blogs The,2018,2025,3069
Americas Blog The,2018,2022,16
Anchorage Daily News,1985,2011,706
Anderson Independent Mail,2012,2025,717
Anniston Star,1991,1992,5
Apalachicola Times,2013,2013,4
Appeal [BLOG] The,2024,2024,4
Argus Leader,1999,2025,7200
Arizona Business Gazette,1999,2020,510
Arizona Daily Star,1990,2017,650
Arizona Mirror,2021,2025,541
Arizona Republic,1999,2025,19969
Arkansas Advocate [BLOG],2023,2025,215
Arkansas Watch [BLOG],2021,2021,1
Asbury Park Press,1999,2025,10458
Asheville Citizen - Times,1999,2025,5368
Atlanta Constitution (pre-1997 Fulltext) The,1995,1995,205
Atlanta Constitution The,1989,2001,2315
Atlanta Daily World (1932-),1932,2009,6684
Atlanta Daily World (Online),2012,2025,459
Atlanta Journal (pre-1997 Fulltext) The,1995,1995,108
Atlanta Journal - Constitution (Online) The,2017,2025,2322
"Atlanta Journal - Constitution Blogs (Atlanta, GA)",2014,2014,7
Atlanta Journal - Constitution The,2002,2025,12523
Atlanta Journal The,1989,2001,761
Atlanta Journal the Atlanta Constitution (pre-1997 Fulltext) The,1995,1996,1180
Atlanta Journal the Atlanta Constitution The,1989,2002,2977
Atlanta World (1931-1932),1932,1932,3
Auburn Reporter (Online),2023,2025,16
Augusta Chronicle The,1996,2010,986
Austin Bulldog The,2010,2022,24
Axios,2019,2025,12454
Babbage (Podcast),2024,2024,8
Bainbridge Island Review (Online),2023,2025,138
Baltimore Sun (Online) The,2017,2025,1840
"Baltimore Sun Blogs (Baltimore, MD)",2014,2015,4
Baltimore Sun The,1990,2025,24021
Bangor Daily News,1993,2025,3727
Banner The,2007,2023,202
Barron's,1975,2025,40364
Barron's (Online),2018,2025,87322
BatesLine [BLOG],2019,2025,5
Battle Creek Enquirer,2001,2025,2463
Baxter Bulletin,2005,2014,7
Bay State Banner,1992,2007,87
Bay State Banner (1965-1979),1966,1979,205
Beaufort Gazette The,2009,2009,2
Beaumont Enterprise,2004,2011,733
Bellevue Reporter (Online),2024,2025,20
Bennington Banner,2006,2016,2542
Berkshire Eagle The,2006,2016,2220
Billings Gazette The,1988,2024,3912
Bismarck Tribune,2003,2025,4794
BizWest,2014,2025,418
Blade The,2005,2025,4262
Bluestem Prairie [BLOG],2018,2025,205
Bohemio News,2005,2005,1
Boston Banner The,2008,2025,405
Boston Daily Globe (1923-1927),1923,1927,546
Boston Globe,1989,2025,22221
Boston Globe (1960-),1960,1993,44550
Boston Globe (Online),2013,2025,9606
Boston Globe (pre-1997 Fulltext),1980,1996,26546
Boston Herald,1991,2011,789
Boston.com,2022,2025,251
Bothell/Kenmore Reporter (Online),2024,2025,6
Boulder County Business Report,1987,2013,283
Bozeman Daily Chronicle,2010,2015,2136
Brad Blog The,2018,2025,176
Brattleboro Reformer The,2006,2016,1820
Brian Lehrer Show The,2006,2025,1332
Broomfield Enterprise,2010,2018,39
Broward Palm Beach New Times (Online),2022,2024,10
"Broward Politics [Sun Sentinel, Fort Lauderdale, Florida - BLOG]",2009,2011,5
Brush - Morgan County News - Tribune,2013,2019,32
Bucks County Courier Times,2007,2009,615
Buffalo News,1992,2017,2845
"Buffalo News Blogs (Buffalo, NY)",2014,2014,1
Bulletin,1996,1997,7
Burlington County Times,1992,2009,127
Burlington Free Press The,1999,2025,3603
Burlington Record The,2013,2013,4
Business Atlanta,1985,1992,48
Business Journal - Central New York The,1987,2025,965
Business Journal The,1992,1998,42
Business NH Magazine,1987,2025,330
Business News Americas,2011,2011,51
Business People,1992,2024,53
Business Press The,1996,2008,51
Business Wire,1988,2025,122587
Business Wire en Espanol,2014,2022,6
Business in Broward,1995,2004,3
"Business, North Carolina",1985,2025,289
BusinessWest,1992,2025,874
CALmatters,2018,2023,393
CBS Special Report,2024,2025,113
CNN 10,2021,2023,14
CNN Commentary,2017,2025,5051
CNN News Central (CNN),2023,2024,482
CNN NewsNight With Abby Phillip (CNN),2023,2024,46
CNN Spanish Wire,2019,2022,18
CNN This Morning,2023,2025,983
CNN Wire Service,2015,2025,46666
CalWatchdog [BLOG],2018,2019,5
California Newswire,2009,2024,71
Call & Post,1990,2025,656
Call (1933-) The,1935,2008,1700
Call and Post (1962-1982),1962,1982,980
Call and Post (1982-),1982,2010,536
Capital,2004,2024,5903
Capital Gazette,2024,2025,650
Capital Watch [Hartford courant - BLOG],2009,2014,14
Carlsbad Current - Argus,2010,2024,738
Carroll County Times,1993,2023,218
Center Square : Alabama [BLOG] The,2023,2025,17
Center Square : Alaska [BLOG] The,2023,2025,34
Center Square : Arkansas [BLOG] The,2023,2025,24
Center Square : Connecticut [BLOG] The,2023,2025,17
Center Square : Delaware [BLOG] The,2023,2025,16
Center Square : Idaho [BLOG] The,2023,2025,19
Center Square : Kentucky [BLOG] The,2023,2025,26
Center Square : Maryland [BLOG] The,2023,2025,24
Center Square : Massachusetts [BLOG] The,2023,2025,19
Center Square : Mississippi [BLOG] The,2023,2025,23
Center Square : National Stories [BLOG] The,2023,2025,1220
Center Square : North Dakota [BLOG] The,2023,2025,22
Center Square : Rhode Island [BLOG] The,2023,2025,14
Center Square : South Dakota [BLOG] The,2023,2025,26
Center Square : Utah [BLOG] The,2023,2025,16
Center Square : Wyoming [BLOG] The,2023,2025,45
Central Business,1988,1995,47
Central Penn Business Journal,1992,2025,1302
Change of Subject [Chicago Tribune - BLOG],2010,2011,36
Charleston Daily Mail,1998,2015,4691
Charleston Gazette - Mail,2015,2025,2751
"Charleston Gazette Blogs (Charleston, WV)",2014,2014,1
Charleston Gazette The,1998,2015,7505
Chattanooga Times Free Press,2008,2012,1093
Chicago Daily Defender (Big Weekend Edition) (1966-1973),1968,1973,218
Chicago Daily Defender (Daily Edition) (1960-1973),1960,1973,612
Chicago Daily Tribune (1923-1963),1923,1963,24325
Chicago Defender,1989,2017,225
Chicago Defender (Big Weekend Edition) (1973-),1973,1980,1214
Chicago Defender (Daily Edition) (1973-),1973,2010,5441
Chicago Defender (National edition) (1921-1967) The,1923,1967,600
Chicago Defender (Online),2008,2025,477
Chicago Sun - Times,1985,2007,6145
Chicago Tribune,1989,2025,78095
Chicago Tribune (1963-1996),1963,1996,106289
Chicago Tribune (1997-),1997,2015,25152
Chicago Tribune (Online),2017,2025,7089
Chicago Tribune (pre-1997 Fulltext),1985,1996,92591
Chicano Weekly  El,2009,2024,58
Chillicothe Gazette,2003,2025,1572
Chris Wallace Show (CNN) The,2023,2024,12
Christian Science Monitor  (1908-) The,1923,2011,25455
Christian Science Monitor (pre-1997 Fulltext),1990,1996,5027
"Christian Science Monitor, The",1980,2025,21838
Cincinnati Enquirer,1999,2025,8872
Cincinnati Enquirer (1923-),1923,2009,106214
Cincinnati Post,1993,2007,1567
Cincinnati Post (2007-Current),2007,2007,41
Citizen Tribune,1995,1995,1
Citizens' Voice,2006,2024,6068
City Hall Scoop [St. Paul Pioneer Press - BLOG],2011,2011,1
Claman Countdown The,2024,2024,28
"Clarion Ledger, The",1999,2025,4367
Cleveland Call and Post (1934-1962),1938,1962,205
Clout Street [Chicago Tribune - BLOG],2010,2011,3
Coast Business,1992,2000,36
Coastal Business Chronicle,1995,1995,3
Coda Story [BLOG],2023,2025,6
Code Switch (Podcast),2017,2024,5
Code Switch [BLOG],2021,2021,1
Colorado Daily,2010,2017,41
Colorado Daily (Online),2017,2019,40
Colorado Newsline,2020,2025,703
Colorado Peak Politics [BLOG],2018,2023,233
"Colorado Springs Business Journal (Pre- June 2, 2012) The",1994,2012,390
ColoradoBiz,1986,2006,109
Columbia Basin Bulletin [BLOG],2024,2024,27
Columbia Daily Tribune,2006,2013,951
Columbian,1995,2025,12598
Columbus Dispatch,1992,2008,867
Comercio  El,2007,2007,1
Commercial Appeal (2007-Current) The,2007,2014,153
Commercial Appeal The,1995,2025,8245
Concord Monitor,1993,2020,1737
Conexion,2006,2006,1
Connecticut Post,2004,2009,238
Consider This From NPR (podcast),2020,2025,323
Contra Costa Times,2010,2016,1247
Conversation U.S. The,2020,2024,2784
Corporate Detroit,1986,1997,70
Corporate Report Wisconsin,1992,2012,58
Corpus Christi Caller - Times,1999,2025,6526
Coshocton Tribune,2003,2025,1731
Courier (1950-1954),1950,1954,71
Courier - Journal,1999,2025,6477
Courier - News,1999,2025,3462
Courier Post,1999,2025,4805
Courier The,2008,2016,802
Courier-Herald (Online) The,2023,2025,86
Courier-Journal (1923-) The,1923,2001,77287
Covington-Maple Valley Reporter (Online),2023,2025,76
Cox News Service,1998,1999,27
Crain's Chicago Business,1983,2025,1815
Crain's Cleveland Business,1986,2025,985
Crain's Detroit Business,1986,2025,1501
Crain's New York Business,1986,2025,1059
Creators Syndicate,2010,2025,1482
Crestview News Bulletin,2013,2015,84
Crime Blog [Dallas Morning News - BLOG],2010,2010,1
D,1988,1988,1
Daily (Podcast) The,2019,2025,1515
Daily Advance,2007,2008,3
Daily Advertiser The,2002,2025,3708
Daily Beast The,2012,2025,3116
Daily Boston Globe (1928-1960),1928,1960,14084
Daily Breeze,2000,2019,5881
Daily Camera (Online),2016,2019,253
Daily Camera The,2010,2019,914
Daily Chronicle The,1995,1995,1
Daily Defender (Daily Edition) (1956-1960),1956,1960,337
Daily Herald,1997,2025,25509
Daily Herald (Online) The,2023,2025,1061
Daily Herald The,1993,1993,1
Daily Journal,2000,2025,1857
Daily Journal World,2008,2025,1369
Daily Montanan,2021,2025,772
Daily News,1992,2019,5499
Daily News Journal The,1999,2025,1962
