year_month,unique_articles
1923-01-01,183
1923-02-01,205
1923-03-01,315
1923-04-01,370
1923-05-01,343
1923-06-01,231
1923-07-01,192
1923-08-01,185
1923-09-01,157
1923-10-01,265
1923-11-01,185
1923-12-01,206
1924-01-01,259
1924-02-01,203
1924-03-01,188
1924-04-01,195
1924-05-01,138
1924-06-01,137
1924-07-01,129
1924-08-01,203
1924-09-01,139
1924-10-01,152
1924-11-01,203
1924-12-01,174
1925-01-01,223
1925-02-01,156
1925-03-01,141
1925-04-01,298
1925-05-01,153
1925-06-01,202
1925-07-01,128
1925-08-01,168
1925-09-01,156
1925-10-01,185
1925-11-01,352
1925-12-01,358
1926-01-01,266
1926-02-01,171
1926-03-01,212
1926-04-01,173
1926-05-01,157
1926-06-01,182
1926-07-01,300
1926-08-01,195
1926-09-01,153
1926-10-01,175
1926-11-01,120
1926-12-01,114
1927-01-01,186
1927-02-01,132
1927-03-01,111
1927-04-01,90
1927-05-01,108
1927-06-01,93
1927-07-01,109
1927-08-01,97
1927-09-01,130
1927-10-01,99
1927-11-01,115
1927-12-01,112
1928-01-01,148
1928-02-01,89
1928-03-01,108
1928-04-01,95
1928-05-01,108
1928-06-01,120
1928-07-01,117
1928-08-01,120
1928-09-01,108
1928-10-01,186
1928-11-01,113
1928-12-01,118
1929-01-01,158
1929-02-01,116
1929-03-01,172
1929-04-01,182
1929-05-01,133
1929-06-01,85
1929-07-01,53
1929-08-01,81
1929-09-01,98
1929-10-01,171
1929-11-01,193
1929-12-01,168
1930-01-01,167
1930-02-01,103
1930-03-01,88
1930-04-01,89
1930-05-01,85
1930-06-01,85
1930-07-01,67
1930-08-01,89
1930-09-01,121
1930-10-01,178
1930-11-01,130
1930-12-01,140
1931-01-01,225
1931-02-01,163
1931-03-01,130
1931-04-01,72
1931-05-01,134
1931-06-01,164
1931-07-01,210
1931-08-01,159
1931-09-01,286
1931-10-01,416
1931-11-01,241
1931-12-01,374
1932-01-01,562
1932-02-01,453
1932-03-01,268
1932-04-01,486
1932-05-01,570
1932-06-01,373
1932-07-01,399
1932-08-01,293
1932-09-01,219
1932-10-01,414
1932-11-01,255
1932-12-01,293
1933-01-01,956
1933-02-01,784
1933-03-01,804
1933-04-01,2577
1933-05-01,2311
1933-06-01,1095
1933-07-01,913
1933-08-01,1056
1933-09-01,1767
1933-10-01,1572
1933-11-01,1577
1933-12-01,1260
1934-01-01,956
1934-02-01,423
1934-03-01,477
1934-04-01,784
1934-05-01,589
1934-06-01,527
1934-07-01,482
1934-08-01,1080
1934-09-01,652
1934-10-01,960
1934-11-01,692
1934-12-01,575
1935-01-01,871
1935-02-01,614
1935-03-01,1189
1935-04-01,766
1935-05-01,1401
1935-06-01,519
1935-07-01,569
1935-08-01,414
1935-09-01,407
1935-10-01,570
1935-11-01,549
1935-12-01,493
1936-01-01,1036
1936-02-01,1131
1936-03-01,505
1936-04-01,423
1936-05-01,568
1936-06-01,528
1936-07-01,360
1936-08-01,296
1936-09-01,388
1936-10-01,571
1936-11-01,339
1936-12-01,338
1937-01-01,348
1937-02-01,245
1937-03-01,581
1937-04-01,568
1937-05-01,396
1937-06-01,239
1937-07-01,172
1937-08-01,212
1937-09-01,249
1937-10-01,302
1937-11-01,269
1937-12-01,265
1938-01-01,383
1938-02-01,405
1938-03-01,183
1938-04-01,620
1938-05-01,311
1938-06-01,290
1938-07-01,158
1938-08-01,100
1938-09-01,157
1938-10-01,157
1938-11-01,136
1938-12-01,158
1939-01-01,299
1939-02-01,189
1939-03-01,208
1939-04-01,210
1939-05-01,243
1939-06-01,223
1939-07-01,163
1939-08-01,160
1939-09-01,302
1939-10-01,268
1939-11-01,251
1939-12-01,221
1940-01-01,275
1940-02-01,185
1940-03-01,189
1940-04-01,173
1940-05-01,180
1940-06-01,237
1940-07-01,170
1940-08-01,115
1940-09-01,217
1940-10-01,340
1940-11-01,575
1940-12-01,345
1941-01-01,712
1941-02-01,270
1941-03-01,401
1941-04-01,598
1941-05-01,574
1941-06-01,402
1941-07-01,740
1941-08-01,1072
1941-09-01,1108
1941-10-01,1097
1941-11-01,1029
1941-12-01,571
1942-01-01,907
1942-02-01,590
1942-03-01,729
1942-04-01,1326
1942-05-01,1136
1942-06-01,740
1942-07-01,1661
1942-08-01,1203
1942-09-01,2079
1942-10-01,1295
1942-11-01,546
1942-12-01,738
1943-01-01,780
1943-02-01,901
1943-03-01,993
1943-04-01,1343
1943-05-01,1086
1943-06-01,1175
1943-07-01,1026
1943-08-01,684
1943-09-01,677
