year,total_records,unique_articles,unique_sources,mean_word_count,median_word_count
1923,4167,2837,22,72.5725941924646,33.0
1924,2976,2120,22,77.37029569892474,33.0
1925,3613,2520,21,103.21145862164407,34.0
1926,2949,2218,25,92.8538487622923,33.0
1927,1754,1382,20,96.59863169897378,34.0
1928,1850,1430,23,137.71027027027026,36.0
1929,2330,1610,19,126.97038626609442,36.0
1930,1706,1342,21,141.06037514654162,36.0
1931,3474,2574,22,148.11427748992517,35.0
1932,6888,4585,26,132.63690476190476,33.0
1933,34852,16672,24,88.16044990244463,31.0
1934,14038,8197,24,96.30901837868642,31.0
1935,14623,8362,24,91.4285030431512,31.0
1936,11224,6483,26,96.9842302209551,31.0
1937,6098,3846,24,98.51738274844212,33.0
1938,4645,3058,24,94.90871905274489,31.0
1939,4031,2737,25,90.35177375341107,32.0
1940,4655,3001,22,100.67626208378088,33.0
1941,16033,8574,25,74.5272250982349,32.0
1942,23884,12950,27,78.29902863841903,33.0
1943,20458,11897,28,74.17176654609443,32.0
1944,8608,6057,27,74.26568308550186,31.0
1945,11289,7669,27,74.81016919124812,29.0
1946,21748,13240,28,78.67739562258599,30.0
1947,19228,11283,29,72.66241938839192,30.0
1948,25698,14595,28,71.07728227877656,30.0
1949,8129,5600,28,71.50965678435232,29.0
1950,13256,7899,30,70.39506638503319,28.0
1951,25614,14480,30,69.45600062465839,29.0
1952,16853,10484,30,76.05085148044859,29.0
1953,6221,4391,30,71.92509242886996,30.0
1954,3895,2950,30,82.29319640564827,29.0
1955,5117,3501,30,62.80379128395544,28.0
1956,8132,5101,29,71.52914412198722,28.0
1957,17293,8983,31,55.11785115364599,28.0
1958,13671,7823,31,55.45629434569527,28.0
1959,20286,10329,31,51.33949521837721,28.0
1960,8963,5958,31,61.00870244337833,28.0
1961,6037,4096,28,57.80967367897963,28.0
1962,5699,3970,29,62.93472539041937,28.0
1963,4695,3141,26,33.031096911608095,26.0
1964,6752,4263,27,34.396623222748815,27.0
1965,6559,4126,26,37.357828937338006,27.0
1966,23157,13258,29,42.27913805760677,28.0
1967,11286,7217,28,43.774942406521355,27.0
1968,14365,8967,29,46.21051166028541,28.0
1969,30442,16355,29,46.14388016556074,29.0
1970,36895,19970,30,44.417183900257484,29.0
1971,28543,16693,32,47.28518375783905,29.0
1972,23106,14080,32,47.34506188868692,30.0
1973,36162,20671,33,45.185802776395114,29.0
1974,92023,44708,33,42.654705888745205,29.0
1975,55364,32625,31,43.33286973484575,29.0
1976,41504,23572,33,46.7691065921357,29.0
1977,37953,21181,34,45.570574131162225,28.0
1978,80412,34532,34,41.999962692135504,28.0
1979,92740,44949,37,43.51315505714902,28.0
1980,118176,54590,41,45.89919272948822,27.0
1981,92980,42574,41,45.2429339642934,28.0
1982,63746,29989,42,45.93947855551721,28.0
1983,52416,24960,46,43.43120421245421,28.0
1984,63967,27331,49,39.61875654634421,27.0
1985,75342,30553,79,34.82716147699822,26.0
1986,66968,28278,96,35.616816987217774,26.0
1987,83219,32939,104,46.41331907376921,26.0
1988,100138,40016,119,45.78715372785556,26.0
1989,109441,44116,139,52.27874379802816,26.0
1990,93273,41906,149,53.23396910145487,26.0
1991,73343,35485,125,76.37885006067383,25.0
1992,84017,43754,233,83.82360712712904,25.0
1993,102210,47945,249,65.68127384796009,24.0
1994,131779,56069,267,68.27543083495853,25.0
1995,94792,50515,287,74.23833234872141,25.0
1996,110935,53222,286,59.142137287600846,25.0
1997,115273,52817,270,62.25655617534028,26.0
1998,96361,52215,257,67.87272859351812,25.0
1999,113933,54563,292,54.62475314439188,25.0
2000,103064,50839,300,72.90620391213227,26.0
2001,63508,32672,310,55.5736757573849,25.0
2002,59607,30982,314,53.21666918314963,24.0
2003,64003,33004,339,51.31176663593894,25.0
2004,99230,44735,356,40.591746447646884,25.0
2005,114842,50063,380,36.91117361244144,25.0
2006,139907,56261,402,32.69972910576311,25.0
2007,117734,53937,415,37.53632765386379,25.0
2008,144607,63906,432,40.28193655908773,25.0
2009,68581,35185,441,45.79288724282235,25.0
2010,85328,38053,462,39.80165947871742,25.0
2011,107905,50900,443,40.029442565219405,25.0
2012,109051,38488,403,47.44282033177137,26.0
2013,136388,40976,391,40.35472328943895,26.0
2014,151642,42449,417,38.09141926379235,26.0
2015,149212,41675,393,35.73587915181085,26.0
2016,140967,38249,383,35.32750927522044,26.0
2017,133169,35173,377,36.6019418933836,26.0
2018,116858,32001,369,32.39559123038217,25.0
2019,98781,29476,369,36.703374130652655,26.0
2020,62385,18023,330,45.2049851727178,27.0
2021,208333,41705,360,34.56618010588817,26.0
2022,652973,137130,377,33.26742606508998,26.0
2023,414295,103808,435,40.69094485813249,27.0
2024,355405,103651,429,38.51103951829603,26.0
2025,87653,42837,386,41.02992481717682,26.0
