source_title,unique_articles
New York Times  (1923-),134189
Los Angeles Times (1923-1995),100288
Targeted News Service,94054
Wall Street Journal  (1923-),85634
Wall Street Journal,76833
New York Times,69249
PR Newswire,68660
St. Louis Post-Dispatch (1923-),65869
Chicago Tribune (1963-1996),61614
Wall Street Journal (Online),60391
Cincinnati Enquirer (1923-),60301
Indianapolis Star (1923-),56931
Washington Post  (1974-) The,54662
Business Wire,53788
New York Times (Online),53188
Detroit Free Press (1923-),50281
TCA Regional News,45376
Courier-Journal (1923-) The,43897
McClatchy - Tribune Business News,43712
Boston Globe (1960-),33048
Tennessean (1972-) The,28970
Minneapolis Tribune (1964-1982),28316
New York Herald Tribune (1926-1962),26186
Minneapolis Star (1947-1982),24038
Washington Post The,21533
